Year,Month,Day,Hour,Minute,Total Wind Output (kW)
2012,1,16,18,0,161278.5
2012,1,16,19,0,161252.4
2012,1,16,20,0,161278.5
2012,1,16,21,0,156123
2012,1,16,22,0,161278.5
2012,1,16,23,0,161278.5
2012,1,17,0,0,145792.4
2012,1,17,1,0,86572.5
2012,1,17,2,0,68310.1
2012,1,17,3,0,71471.8
2012,1,17,4,0,41546.8
2012,1,17,5,0,17827.99
2012,1,17,6,0,1857.25
2012,1,17,7,0,0
2012,1,17,8,0,0
2012,1,17,9,0,0
2012,1,17,10,0,0
2012,1,17,11,0,0
2012,1,17,12,0,0
2012,1,17,13,0,0
2012,1,17,14,0,0
2012,1,17,15,0,0
2012,1,17,16,0,0
2012,1,17,17,0,0
2012,1,17,18,0,0
2012,1,17,19,0,0
2012,1,17,20,0,0
2012,1,17,21,0,0
2012,1,17,22,0,0
2012,1,17,23,0,0
2012,1,18,0,0,0
2012,1,18,1,0,0
2012,1,18,2,0,0
2012,1,18,3,0,0
2012,1,18,4,0,0
2012,1,18,5,0,2472.63
2012,1,18,6,0,3277.15
2012,1,18,7,0,0
2012,1,18,8,0,0
2012,1,18,9,0,0
2012,1,18,10,0,0
2012,1,18,11,0,0
2012,1,18,12,0,862.788
2012,1,18,13,0,3505.88
2012,1,18,14,0,12991.24
2012,1,18,15,0,32842.7
2012,1,18,16,0,36775.37
2012,1,18,17,0,31092.42
2012,1,18,18,0,8985.26
2012,1,18,19,0,5508.37
2012,1,18,20,0,11454.62
2012,1,18,21,0,12546.28
2012,1,18,22,0,14793.69
2012,1,18,23,0,17999.03
2012,1,19,0,0,18365.21
2012,1,19,1,0,18574.95
2012,1,19,2,0,14972.69
2012,1,19,3,0,16376.39
2012,1,19,4,0,17931.73
2012,1,19,5,0,20756.6
2012,1,19,6,0,19687.59
2012,1,19,7,0,15515.47
2012,1,19,8,0,12714.46
2012,1,19,9,0,4730.856
2012,1,19,10,0,6937.14
2012,1,19,11,0,6453.019
2012,1,19,12,0,51889.6
2012,1,19,13,0,54493.9
2012,1,19,14,0,56676.4
2012,1,19,15,0,71821.8
2012,1,19,16,0,76382.1
2012,1,19,17,0,49369.7
2012,1,19,18,0,58003.8
2012,1,19,19,0,72043.4
2012,1,19,20,0,158812.5
2012,1,19,21,0,161278.5
2012,1,19,22,0,161278.5
2012,1,19,23,0,161278.5
2012,1,20,0,0,74822.5
2012,1,20,1,0,73772.2
2012,1,20,2,0,71948.7
2012,1,20,3,0,121637.4
2012,1,20,4,0,121688.9
2012,1,20,5,0,100346.9
2012,1,20,6,0,99042
2012,1,20,7,0,91134.7
2012,1,20,8,0,76704.9
2012,1,20,9,0,58636.1
2012,1,20,10,0,100552.2
2012,1,20,11,0,51225.24
2012,1,20,12,0,54489.5
2012,1,20,13,0,48023.2
2012,1,20,14,0,72862.1
2012,1,20,15,0,74708.5
2012,1,20,16,0,80433.2
2012,1,20,17,0,87920.9
2012,1,20,18,0,79172.2
