,Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
0,NSRDB,72872,-,-,-,32.85,-117.14,-8,130,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,,3.0.6
1,Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Wind Speed,Temperature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,2012,1,2,15,30,218,52,690,1.9000000000000001,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,2012,1,2,16,0,125,40,555,1.8,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,2012,1,2,16,30,41,21,316,1.8,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,2012,1,2,17,0,0,0,0,1.9000000000000001,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,2012,1,2,17,30,0,0,0,1.9000000000000001,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,2012,1,2,18,0,0,0,0,2,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,2012,1,2,18,30,0,0,0,2,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,2012,1,2,19,0,0,0,0,2,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,2012,1,2,19,30,0,0,0,2,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,2012,1,2,20,0,0,0,0,2,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,2012,1,2,20,30,0,0,0,2,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,2012,1,2,21,0,0,0,0,2,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,2012,1,2,21,30,0,0,0,2,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,2012,1,2,22,0,0,0,0,2,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,2012,1,2,22,30,0,0,0,2,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,2012,1,2,23,0,0,0,0,2,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,2012,1,2,23,30,0,0,0,1.9000000000000001,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,2012,1,3,0,0,0,0,0,1.9000000000000001,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,2012,1,3,0,30,0,0,0,1.8,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,2012,1,3,1,0,0,0,0,1.8,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,2012,1,3,1,30,0,0,0,1.7000000000000002,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,2012,1,3,2,0,0,0,0,1.7000000000000002,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,2012,1,3,2,30,0,0,0,1.7000000000000002,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,2012,1,3,3,0,0,0,0,1.7000000000000002,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,2012,1,3,3,30,0,0,0,1.7000000000000002,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,2012,1,3,4,0,0,0,0,1.7000000000000002,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,2012,1,3,4,30,0,0,0,1.7000000000000002,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,2012,1,3,5,0,0,0,0,1.7000000000000002,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,2012,1,3,5,30,0,0,0,1.7000000000000002,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,2012,1,3,6,0,0,0,0,1.8,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,2012,1,3,6,30,0,0,0,1.9000000000000001,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,2012,1,3,7,0,0,0,0,2,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,2012,1,3,7,30,78,31,439,2.5,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,2012,1,3,8,0,167,45,620,3,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,2012,1,3,8,30,258,54,726,3.3000000000000003,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,2012,1,3,9,0,343,61,798,3.7,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,2012,1,3,9,30,420,66,846,3.5,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,2012,1,3,10,0,484,73,870,3.4000000000000004,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,2012,1,3,10,30,535,76,893,3.1,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,2012,1,3,11,0,571,79,906,2.9000000000000004,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,2012,1,3,11,30,592,80,914,2.7,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,2012,1,3,12,0,596,80,915,2.5,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,2012,1,3,12,30,585,80,911,2.3000000000000003,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,2012,1,3,13,0,557,77,904,2.2,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,2012,1,3,13,30,514,74,887,2.1,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,2012,1,3,14,0,457,70,862,2.1,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,2012,1,3,14,30,387,66,823,1.7000000000000002,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,2012,1,3,15,0,306,59,768,1.4000000000000001,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,2012,1,3,15,30,217,51,685,1.2000000000000002,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,2012,1,3,16,0,125,40,548,1.2000000000000002,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,2012,1,3,16,30,42,21,318,1.3,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,2012,1,3,17,0,0,0,0,1.5,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,2012,1,3,17,30,0,0,0,1.6,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,2012,1,3,18,0,0,0,0,1.7000000000000002,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,2012,1,3,18,30,0,0,0,1.7000000000000002,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,2012,1,3,19,0,0,0,0,1.8,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,2012,1,3,19,30,0,0,0,1.8,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,2012,1,3,20,0,0,0,0,1.8,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,2012,1,3,20,30,0,0,0,1.8,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,2012,1,3,21,0,0,0,0,1.8,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,2012,1,3,21,30,0,0,0,1.8,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,2012,1,3,22,0,0,0,0,1.8,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,2012,1,3,22,30,0,0,0,1.8,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,2012,1,3,23,0,0,0,0,1.8,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,2012,1,3,23,30,0,0,0,1.8,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,2012,1,4,0,0,0,0,0,1.8,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,2012,1,4,0,30,0,0,0,1.8,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,2012,1,4,1,0,0,0,0,1.8,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,2012,1,4,1,30,0,0,0,1.8,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,2012,1,4,2,0,0,0,0,1.8,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,2012,1,4,2,30,0,0,0,1.8,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,2012,1,4,3,0,0,0,0,1.8,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,2012,1,4,3,30,0,0,0,1.8,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,2012,1,4,4,0,0,0,0,1.8,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,2012,1,4,4,30,0,0,0,1.8,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,2012,1,4,5,0,0,0,0,1.8,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,2012,1,4,5,30,0,0,0,1.7000000000000002,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,2012,1,4,6,0,0,0,0,1.7000000000000002,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,2012,1,4,6,30,0,0,0,1.7000000000000002,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,2012,1,4,7,0,0,0,0,1.7000000000000002,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,2012,1,4,7,30,82,29,494,1.9000000000000001,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,2012,1,4,8,0,174,42,667,2.2,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,2012,1,4,8,30,267,52,770,3,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,2012,1,4,9,0,355,58,837,3.9000000000000004,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,2012,1,4,9,30,433,63,882,4.3,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,2012,1,4,10,0,499,66,916,4.7,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,2012,1,4,10,30,551,68,938,4.7,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,2012,1,4,11,0,588,72,948,4.800000000000001,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,2012,1,4,11,30,609,73,955,4.6000000000000005,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,2012,1,4,12,0,613,75,952,4.6000000000000005,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,2012,1,4,12,30,601,74,948,4.4,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,2012,1,4,13,0,572,73,937,4.3,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,2012,1,4,13,30,528,70,920,4,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,2012,1,4,14,0,469,68,889,3.8000000000000003,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,2012,1,4,14,30,398,64,851,3.2,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,2012,1,4,15,0,315,59,791,2.6,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,2012,1,4,15,30,224,51,708,2.2,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,2012,1,4,16,0,131,40,576,1.8,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,2012,1,4,16,30,45,22,344,1.9000000000000001,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,2012,1,4,17,0,0,0,0,2.1,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,2012,1,4,17,30,0,0,0,2.2,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,2012,1,4,18,0,0,0,0,2.3000000000000003,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
