Resource,onshore_wind,solar_pv_sat,solar_btm,solar_btm_curt,hydro,battery4,battery8,pumped_hydro_long,pumped_hydro_short,geothermal
t156,0.0,0.0,0.0,0.0,1407.438542637009,0.0,2371.2760127891306,0.0,0.0,0.0
t157,0.0,0.0,0.0,0.0,1408.470192603009,0.0,2371.2760127891306,0.0,0.0,0.0
t158,0.0,0.0,0.0,0.0,1409.506207443009,0.0,2371.2760127891306,0.0,0.0,0.0
t159,0.0,0.0,0.0,0.0,1410.5465871510091,0.0,2371.2760127891306,0.0,0.0,0.0
t160,0.0,0.0,0.0,0.0,1411.591331721009,0.0,2412.3139070024467,0.0,0.0,0.0
t161,0.0,0.0,0.0,0.0,1412.640441159009,0.0,2412.3139070024467,0.0,0.0,0.0
t162,0.0,0.0,0.0,0.0,1413.693915465009,0.0,2412.3139070024467,0.0,0.0,0.0
t163,0.0,0.0,0.0,0.0,1414.751754645009,0.0,2412.3139070024467,0.0,0.0,0.0
t164,0.0,0.0,0.0,0.0,1415.813958687009,0.0,2412.3139070024467,0.0,0.0,0.0
t165,0.0,0.0,0.0,0.0,1416.880527597009,0.0,2453.351801215763,0.0,0.0,0.0
t166,0.0,0.0,0.0,0.0,1417.9514613750089,0.0,2453.351801215763,0.0,0.0,0.0
t167,0.0,0.0,0.0,0.0,1419.0267600210088,0.0,2453.351801215763,0.0,0.0,0.0
t168,0.0,0.0,0.0,0.0,1420.106423529009,0.0,2453.351801215763,0.0,0.0,0.0
t169,0.0,0.0,0.0,0.0,1421.190451911009,0.0,2453.351801215763,0.0,0.0,0.0
t170,0.0,0.0,0.0,0.0,1422.302114475009,0.0,2494.389695429079,0.0,0.0,0.0
t171,0.0,0.0,0.0,0.0,1423.441411233009,0.0,2494.389695429079,0.0,0.0,0.0
t172,0.0,0.0,0.0,0.0,1424.608342179009,0.0,2494.389695429079,0.0,0.0,0.0
t173,0.0,0.0,0.0,0.0,1425.802907313009,0.0,2494.389695429079,0.0,0.0,0.0
t174,0.0,0.0,0.0,0.0,1427.025106635009,0.0,2494.389695429079,0.0,0.0,0.0
t175,0.0,0.0,0.0,0.0,1428.274940145009,0.0,2535.427589642395,0.0,0.0,0.0
t176,0.0,0.0,0.0,0.0,1429.552407843009,0.0,2535.427589642395,0.0,0.0,0.0
t177,0.0,0.0,0.0,0.0,1430.857509729009,0.0,2535.427589642395,0.0,0.0,0.0
t178,0.0,0.0,0.0,0.0,1432.190245803009,0.0,2535.427589642395,0.0,0.0,0.0
t179,0.0,0.0,0.0,0.0,1433.550616065009,0.0,2535.427589642395,0.0,0.0,0.0
t180,0.0,0.0,0.0,0.0,1434.9386205210092,0.0,2576.465483855711,0.0,0.0,0.0
t181,0.0,0.0,0.0,0.0,1436.3542591590092,0.0,2576.465483855711,0.0,0.0,0.0
t182,0.0,0.0,0.0,0.0,1437.8406254370093,0.0,2576.465483855711,0.0,0.0,0.0
t183,0.0,0.0,0.0,0.0,1439.3977193550093,0.0,2576.465483855711,0.0,0.0,0.0
t184,0.0,0.0,0.0,0.0,1441.0255409130093,0.0,2617.5033780690273,0.0,0.0,0.0
t185,0.0,0.0,0.0,0.0,1442.7240901110092,0.0,2658.5412722823435,0.0,0.0,0.0
t186,0.0,0.0,0.0,0.0,1444.4933669430093,0.0,2658.5412722823435,0.0,0.0,0.0
t187,0.0,0.0,0.0,0.0,1446.3333714210094,0.0,2658.5412722823435,0.0,0.0,0.0
t188,0.0,0.0,0.0,0.0,1448.2441035330094,0.0,2658.5412722823435,0.0,0.0,0.0
t189,0.0,0.0,0.0,0.0,1450.2255632850095,0.0,2658.5412722823435,0.0,0.0,0.0
t190,0.0,0.0,0.0,0.0,1452.2777506770094,0.0,2699.5791664956596,0.0,0.0,0.0
t191,0.0,0.0,0.0,0.0,1454.4006657090094,0.0,2699.5791664956596,0.0,0.0,0.0
t192,0.0,0.0,0.0,0.0,1456.5943083810093,0.0,2699.5791664956596,0.0,0.0,0.0
t193,0.0,0.0,0.0,0.0,1458.8586786930093,0.0,2699.5791664956596,0.0,0.0,0.0
t194,0.0,0.0,0.0,0.0,1461.1792157970094,0.0,2699.5791664956596,0.0,0.0,0.0
t195,0.0,0.0,0.0,0.0,1463.5559196870095,0.0,2734.101619362231,0.0,0.0,0.0
t196,0.0,0.0,0.0,0.0,1465.9887903750096,0.0,2734.101619362231,0.0,0.0,0.0
t197,0.0,0.0,0.0,0.0,1468.4778278550095,0.0,2734.101619362231,0.0,0.0,0.0
t198,0.0,0.0,0.0,0.0,1471.0230321210095,0.0,2734.101619362231,0.0,0.0,0.0
t199,0.0,0.0,0.0,0.0,1473.6244031850094,0.0,2734.101619362231,0.0,0.0,0.0
t200,0.0,0.0,0.0,0.0,1476.2819410410095,0.0,2734.101619362231,0.0,0.0,0.0
t201,0.0,0.0,0.0,0.0,1478.9956456890095,0.0,2734.101619362231,0.0,0.0,0.0
t202,0.0,0.0,0.0,0.0,1481.7655171230094,0.0,2734.101619362231,0.0,0.0,0.0
t203,0.0,0.0,0.0,0.0,1484.5915553550094,0.0,2734.101619362231,0.0,0.0,0.0
t204,0.0,0.0,0.0,0.0,1487.4737603730093,0.0,2734.101619362231,0.0,0.0,0.0
t205,0.0,0.0,0.0,0.0,1490.4121321830094,0.0,2730.27892653025,0.0,0.0,0.0
t206,0.0,0.0,0.0,0.0,1490.234744186362,0.0,2730.27892653025,0.0,0.0,0.0
t207,0.0,0.0,0.0,0.0,1490.4011864384897,0.0,2730.27892653025,0.0,0.0,0.0
t208,0.0,0.0,0.0,0.0,1490.9440685993238,0.0,2730.27892653025,0.0,0.0,0.0
t209,0.0,0.0,0.0,0.0,1491.9028152529331,0.0,2730.27892653025,0.0,0.0,0.0
t210,0.0,0.0,0.0,0.0,1494.877931656933,0.0,2728.5473897676243,0.0,0.0,0.0
t211,0.0,0.0,0.0,0.0,1496.6014251680926,0.0,2728.5473897676243,0.0,0.0,0.0
t212,0.0,0.0,0.0,0.0,1498.6072684179585,0.0,2728.5473897676243,0.0,0.0,0.0
t213,0.0,0.0,0.0,0.0,1500.9307152105996,0.0,2728.5473897676243,0.0,0.0,0.0
t214,0.0,0.0,0.0,0.0,1503.518444242016,0.0,2728.5473897676243,0.0,0.0,0.0
t215,0.0,0.0,0.0,0.0,1506.5303052400159,0.0,2728.31168318305,0.0,0.0,0.0
t216,0.0,0.0,0.0,0.0,1509.5495151580158,0.0,2728.31168318305,0.0,0.0,0.0
t217,0.0,0.0,0.0,0.0,1512.5643128296886,0.0,2728.31168318305,0.0,0.0,0.0
t218,0.0,0.0,0.0,0.0,1515.5752369576885,0.0,2727.354568221088,0.0,0.0,0.0
t219,0.0,0.0,0.0,0.0,1516.9714652280745,0.0,2727.354568221088,0.0,0.0,0.0
t220,0.0,0.0,0.0,0.0,1519.9511199480746,0.0,2725.0007152164226,0.0,0.0,0.0
t221,0.0,0.0,0.0,0.0,1520.4291096351049,0.0,2725.0007152164226,0.0,0.0,0.0
t222,0.0,0.0,0.0,0.0,1520.724773593457,0.0,2725.0007152164226,0.0,0.0,0.0
t223,0.0,0.0,0.0,0.0,1523.657524207457,0.0,2721.7948341857086,0.0,0.0,0.0
t224,0.0,0.0,0.0,0.0,1523.4375568945225,0.0,2721.7948341857086,0.0,0.0,0.0
