Constraint,CapRes_1
t500,4.2606923440448226
t501,4.260692344044903
t502,4.260692344044946
t503,4.260692344044985
t504,4.260692344045018
t505,4.260692344045047
t506,4.260692344045095
t507,4.26069234404512
t508,4.260692344045144
t509,4.260692344045165
t510,4.260692344045184
t511,4.260692344045216
t512,4.260692344045234
t513,4.260692344045249
t514,4.260692344045264
t515,4.260692344045277
t516,4.260692344045302
t517,4.260692344045314
t518,4.260692344045325
t519,4.260692344045336
t520,4.2606923440453475
t521,4.260692344045367
t522,4.260692344045375
t523,4.260692344045384
t524,4.260692344045392
t525,4.2606923440454
t526,4.260692344045417
t527,4.260692344045423
t528,4.26069234404543
t529,4.260692344045435
t530,4.2606923440454425
t531,4.260692344045455
t532,4.26069234404546
t533,4.260692344045465
t534,4.26069234404547
t535,4.260692344045473
t536,4.260692344045485
t537,4.26069234404549
t538,4.260692344045494
t539,4.260692344045496
t540,4.260692344045501
t541,4.26069234404551
t542,4.2606923440455144
t543,4.260692344045516
t544,4.260692344045519
t545,4.2606923440455216
t546,4.260692344045533
t547,4.260692344045535
t548,4.260692344045537
t549,4.260692344045539
t550,4.260692344045541
t551,4.260692344045548
t552,4.26069234404555
t553,4.260692344045552
t554,4.260692344045552
t555,4.260692344045553
t556,4.260692344045559
t557,4.260692344045559
t558,4.260692344045558
t559,4.260692344045557
t560,4.260692344045557
t561,4.2606923440455615
t562,4.260692344045561
t563,4.26069234404556
t564,4.260692344045558
t565,4.260692344045558
t566,4.2606923440455615
t567,4.26069234404556
t568,4.260692344045559
t569,4.260692344045559
t570,4.260692344045557
t571,4.260692344045562
t572,4.260692344045561
t573,4.260692344045559
t574,4.260692344045558
t575,4.260692344045556
t576,4.260692344045561
t577,4.260692344045559
t578,4.260692344045559
t579,4.260692344045557
t580,4.260692344045554
t581,4.260692344045558
t582,4.260692344045556
t583,4.2606923440455535
t584,4.260692344045551
t585,4.260692344045549
t586,4.260692344045554
t587,4.260692344045553
t588,4.26069234404555
t589,4.260692344045546
t590,4.260692344045545
t591,4.260692344045548
t592,4.260692344045546
t593,4.260692344045544
t594,4.260692344045542
t595,4.260692344045539
t596,4.260692344045543
t597,4.260692344045539
t598,4.2606923440455375
t599,4.260692344045536
t600,4.260692344045531
t601,4.260692344045535
t602,4.260692344045531
t603,4.2606923440455295
t604,4.260692344045526
t605,4.260692344045523
t606,4.260692344045526
t607,4.260692344045522
t608,4.260692344045521
t609,4.260692344045516
t610,4.260692344045512
t611,4.2606923440455144
t612,4.260692344045511
t613,4.260692344045507
t614,4.260692344045504
t615,4.2606923440454985
t616,4.260692344045501
t617,4.260692344045498
t618,4.260692344045492
t619,4.260692344045489
t620,4.260692344045484
t621,4.260692344045486
t622,4.260692344045481
t623,4.260692344045476
t624,4.260692344045472
t625,4.260692344045468
t626,4.260692344045468
t627,4.260692344045464
t628,4.2606923440454585
t629,4.260692344045454
t630,4.26069234404545
t631,4.26069234404545
t632,4.260692344045445
t633,4.26069234404544
t634,4.260692344045434
t635,4.26069234404543
t636,4.260692344045428
t637,4.260692344045424
t638,4.2606923440454185
t639,4.260692344045412
t640,4.260692344045406
t641,4.260692344045405
t642,4.260692344045397
t643,4.260692344045391
t644,4.260692344045384
t645,4.260692344045377
t646,4.260692344045375
t647,4.260692344045366
t648,4.260692344045357
t649,4.260692344045349
t650,4.2606923440453395
t651,4.260692344045335
t652,4.2606923440453235
t653,4.260692344045312
t654,4.260692344045297
t655,4.260692344045282
t656,4.260692344045267
t657,4.260692344045245
t658,4.260692344045216
t659,4.26069234404518
t660,4.260692344045126
t661,4.26069234404503
t662,4.260692344044234
t663,0.6544423440450844
t664,0.6544423440447098
