Time_Index,onshore_wind,solar_pv_sat,hydro,battery,pumped_hydro
344,0.479102557,0.0,0.235620525,1.0,1.0
345,0.479912284,0.0,0.238924447,1.0,1.0
346,0.480722012,0.0,0.24222837,1.0,1.0
347,0.48153174,0.0,0.245532292,1.0,1.0
348,0.482341467,0.0,0.248836214,1.0,1.0
349,0.483151195,0.0,0.252140136,1.0,1.0
350,0.483013028,0.0,0.258298867,1.0,1.0
351,0.482874861,0.0,0.264457597,1.0,1.0
352,0.482736695,0.0,0.270616328,1.0,1.0
353,0.482598528,0.0,0.276775058,1.0,1.0
354,0.482460361,0.0,0.282933789,1.0,1.0
355,0.482322194,0.0,0.289092519,1.0,1.0
356,0.482184027,0.0,0.29525125,1.0,1.0
357,0.48204586,0.0,0.30140998,1.0,1.0
358,0.481907693,0.0,0.307568711,1.0,1.0
359,0.481769527,0.0,0.313727441,1.0,1.0
360,0.48163136,0.0,0.319886171,1.0,1.0
361,0.481493193,0.0,0.326044902,1.0,1.0
362,0.479816435,0.0,0.328865029,1.0,1.0
363,0.478139677,0.0,0.331685156,1.0,1.0
364,0.476462919,0.0,0.334505282,1.0,1.0
365,0.474786162,0.0,0.337325409,1.0,1.0
366,0.473109404,0.0,0.340145536,1.0,1.0
367,0.471432646,0.0,0.342965663,1.0,1.0
368,0.469755888,0.0,0.345785789,1.0,1.0
369,0.46807913,0.0,0.348605916,1.0,1.0
370,0.466402373,0.0,0.351426042,1.0,1.0
371,0.464725615,0.0,0.354246169,1.0,1.0
372,0.463,0.0,0.357066296,1.0,1.0
373,0.461372099,0.0,0.359886423,1.0,1.0
374,0.461660058,0.039063776,0.353057183,1.0,1.0
375,0.461948018,0.078127552,0.346227943,1.0,1.0
376,0.462235977,0.117191329,0.339398702,1.0,1.0
377,0.462523937,0.156255105,0.332569462,1.0,1.0
378,0.462811896,0.195318881,0.325740222,1.0,1.0
379,0.463099856,0.234382657,0.318910983,1.0,1.0
380,0.463387815,0.281071401,0.312081742,1.0,1.0
381,0.463675774,0.327760145,0.305252502,1.0,1.0
382,0.463963734,0.37444889,0.298423262,1.0,1.0
383,0.464251693,0.421137634,0.291594021,1.0,1.0
384,0.464539653,0.467826378,0.284764781,1.0,1.0
385,0.464827612,0.514515122,0.277935541,1.0,1.0
386,0.464327442,0.541673152,0.272938575,1.0,1.0
387,0.463827272,0.568831181,0.267941608,1.0,1.0
388,0.463327102,0.595989211,0.262944642,1.0,1.0
389,0.462826932,0.623147241,0.257947676,1.0,1.0
390,0.462326762,0.65030527,0.252950709,1.0,1.0
391,0.461826592,0.6774633,0.247953743,1.0,1.0
392,0.461326422,0.68502003,0.242956777,1.0,1.0
393,0.460826252,0.692576759,0.23795981,1.0,1.0
394,0.460326082,0.700133489,0.232962844,1.0,1.0
395,0.459825912,0.707690219,0.227965878,1.0,1.0
396,0.459325742,0.715246948,0.222968911,1.0,1.0
397,0.458825572,0.722803678,0.217971944,1.0,1.0
398,0.450196038,0.72460106,0.215318623,1.0,1.0
399,0.441566504,0.726398442,0.212665301,1.0,1.0
400,0.432936969,0.728195825,0.210011979,1.0,1.0
401,0.424307435,0.729993207,0.207358657,1.0,1.0
402,0.415677901,0.731790589,0.204705336,1.0,1.0
403,0.407048367,0.733587971,0.202052015,1.0,1.0
404,0.398418832,0.730786257,0.199398693,1.0,1.0
405,0.389789298,0.727984543,0.196745371,1.0,1.0
406,0.381159764,0.72518283,0.194092049,1.0,1.0
407,0.37253023,0.722381116,0.191438728,1.0,1.0
408,0.363900695,0.719579402,0.188785406,1.0,1.0
409,0.355271161,0.716777688,0.186132084,1.0,1.0
410,0.354242299,0.713275879,0.184935581,1.0,1.0
411,0.353213437,0.70977407,0.183739079,1.0,1.0
412,0.352184575,0.706272261,0.182542576,1.0,1.0
413,0.351155713,0.702770452,0.181346072,1.0,1.0
414,0.350126851,0.699268643,0.180149569,1.0,1.0
415,0.349097989,0.695766834,0.178953066,1.0,1.0
416,0.348069126,0.692411102,0.177756563,1.0,1.0
417,0.347040264,0.68905537,0.17656006,1.0,1.0
418,0.346011402,0.685699639,0.175363557,1.0,1.0
419,0.34498254,0.682343907,0.174167054,1.0,1.0
420,0.343953678,0.678988175,0.172970551,1.0,1.0
421,0.342924816,0.675632443,0.171774048,1.0,1.0
422,0.342382948,0.673269983,0.171515689,1.0,1.0
423,0.34184108,0.670907522,0.171257331,1.0,1.0
424,0.341299212,0.668545062,0.170998972,1.0,1.0
425,0.340757344,0.666182602,0.170740612,1.0,1.0
426,0.340215476,0.663820141,0.170482254,1.0,1.0
427,0.339673608,0.661457681,0.170223895,1.0,1.0
428,0.33913174,0.660448555,0.169965536,1.0,1.0
429,0.338589872,0.659439429,0.169707177,1.0,1.0
430,0.338048004,0.658430303,0.169448818,1.0,1.0
431,0.337506136,0.657421177,0.169190459,1.0,1.0
432,0.336964268,0.656412051,0.1689321,1.0,1.0
433,0.3364224,0.655402925,0.168673741,1.0,1.0
434,0.333082887,0.653743385,0.168767823,1.0,1.0
435,0.329743374,0.652083845,0.168861905,1.0,1.0
436,0.326403861,0.650424305,0.168955987,1.0,1.0
437,0.323064347,0.648764764,0.169050069,1.0,1.0
438,0.319724834,0.647105224,0.169144151,1.0,1.0
439,0.316385321,0.645445684,0.169238232,1.0,1.0
440,0.313045808,0.651265156,0.169332314,1.0,1.0
441,0.309706295,0.657084628,0.169426396,1.0,1.0
442,0.306366781,0.6629041,0.169520478,1.0,1.0
443,0.303027268,0.668723571,0.16961456,1.0,1.0
444,0.299687755,0.674543043,0.169708642,1.0,1.0
445,0.296348242,0.680362515,0.169802723,1.0,1.0
446,0.291406066,0.68333546,0.170512347,1.0,1.0
447,0.286463891,0.686308405,0.171221969,1.0,1.0
448,0.281521715,0.68928135,0.171931592,1.0,1.0
449,0.27657954,0.692254295,0.172641214,1.0,1.0
450,0.271637364,0.69522724,0.173350837,1.0,1.0
451,0.266695188,0.698200185,0.174060461,1.0,1.0
452,0.261753013,0.700887281,0.174770083,1.0,1.0
453,0.256810837,0.703574378,0.175479706,1.0,1.0
454,0.251868662,0.706261474,0.176189328,1.0,1.0
455,0.246926486,0.70894857,0.176898952,1.0,1.0
456,0.241984311,0.711635667,0.177608574,1.0,1.0
457,0.237042135,0.714322763,0.178318197,1.0,1.0
458,0.234314767,0.71472822,0.182758274,1.0,1.0
459,0.231587399,0.715133677,0.187198353,1.0,1.0
460,0.228860031,0.715539134,0.19163843,1.0,1.0
461,0.226132663,0.715944591,0.196078508,1.0,1.0
462,0.223405295,0.716350048,0.200518586,1.0,1.0
463,0.220677927,0.716755505,0.204958664,1.0,1.0
464,0.217950558,0.711572944,0.209398742,1.0,1.0
465,0.21522319,0.706390384,0.213838819,1.0,1.0
466,0.212495822,0.701207823,0.218278898,1.0,1.0
467,0.209768454,0.696025262,0.222718975,1.0,1.0
468,0.207041086,0.690842702,0.227159054,1.0,1.0
469,0.204313718,0.685660141,0.231599131,1.0,1.0
470,0.207208395,0.674508354,0.243270128,1.0,1.0
471,0.210103072,0.663356567,0.254941126,1.0,1.0
472,0.212997749,0.652204781,0.266612122,1.0,1.0
473,0.215892426,0.641052994,0.27828312,1.0,1.0
474,0.218787103,0.629901207,0.289954117,1.0,1.0
475,0.22168178,0.61874942,0.301625115,1.0,1.0
476,0.224576457,0.580469042,0.313296111,1.0,1.0
477,0.227471134,0.542188664,0.324967109,1.0,1.0
478,0.230365811,0.503908287,0.336638106,1.0,1.0
479,0.233260488,0.465627909,0.348309103,1.0,1.0
480,0.236155165,0.427347531,0.3599801,1.0,1.0
481,0.239049842,0.389067153,0.371651097,1.0,1.0
482,0.240012979,0.338572036,0.381027907,1.0,1.0
483,0.240976117,0.288076919,0.390404717,1.0,1.0
484,0.241939254,0.237581802,0.399781527,1.0,1.0
485,0.242902391,0.187086684,0.409158337,1.0,1.0
486,0.243865529,0.136591567,0.418535146,1.0,1.0
487,0.244828666,0.08609645,0.427911957,1.0,1.0
488,0.245791803,0.071747042,0.437288766,1.0,1.0
489,0.246754941,0.057397633,0.446665576,1.0,1.0
490,0.247718078,0.043048225,0.456042386,1.0,1.0
491,0.248681215,0.028698817,0.465419196,1.0,1.0
492,0.249644353,0.014349408,0.474796005,1.0,1.0
493,0.25060749,0.0,0.484172816,1.0,1.0
494,0.249352311,0.0,0.485410797,1.0,1.0
495,0.248097132,0.0,0.48664878,1.0,1.0
496,0.246841954,0.0,0.487886762,1.0,1.0
497,0.245586775,0.0,0.489124744,1.0,1.0
498,0.244331596,0.0,0.490362726,1.0,1.0
499,0.243076417,0.0,0.491600708,1.0,1.0
500,0.241821239,0.0,0.49283869,1.0,1.0
501,0.24056606,0.0,0.494076672,1.0,1.0
502,0.239310881,0.0,0.495314654,1.0,1.0
503,0.238055703,0.0,0.496552636,1.0,1.0
504,0.236800524,0.0,0.497790618,1.0,1.0
505,0.235545345,0.0,0.4990286,1.0,1.0
506,0.231804936,0.0,0.49645076,1.0,1.0
507,0.228064528,0.0,0.493872922,1.0,1.0
508,0.224324119,0.0,0.491295082,1.0,1.0
509,0.22058371,0.0,0.488717242,1.0,1.0
510,0.216843302,0.0,0.486139403,1.0,1.0
511,0.213102893,0.0,0.483561564,1.0,1.0
512,0.209362484,0.0,0.480983725,1.0,1.0
513,0.205622076,0.0,0.478405885,1.0,1.0
514,0.201881667,0.0,0.475828046,1.0,1.0
