Resource,onshore_wind,solar_pv_sat,solar_btm,hydro,battery4,battery8,pumped_hydro
t151,0.0,0.0,0.0,0.0,0.13799999999999998,-0.16304347826086954,-0.4322046313799628
t152,0.0,0.0,0.0,0.0,0.13799999999999998,-0.16304347826086954,-0.4322046313799628
t153,0.0,0.0,0.0,0.0,0.13799999999999998,-0.16304347826086954,-0.4322046313799628
t154,0.0,0.0,0.0,0.0,0.13799999999999998,-0.16304347826086954,-0.4322046313799628
t155,0.0,0.0,0.0,0.0,0.13799999999999998,-0.16304347826086954,-0.4322046313799628
t156,0.0,0.0,0.0,0.0,0.13799999999999998,-0.16304347826086954,-0.4322046313799628
t157,0.0,0.0,0.0,0.0,0.13799999999999998,-0.16304347826086954,-0.4322046313799628
t158,0.0,0.0,0.0,0.0,0.13799999999999998,-0.16304347826086954,-0.4322046313799628
t159,0.0,0.0,0.0,0.0,0.13799999999999998,-0.16304347826086954,-0.4322046313799628
t160,0.0,0.0,0.0,0.0,0.13799999999999998,-0.16304347826086954,-0.4322046313799628
t161,0.0,0.0,0.0,0.0,0.13799999999999998,-0.16304347826086954,-0.4322046313799628
t162,0.0,0.0,0.0,0.0,0.13799999999999998,-0.16304347826086954,-0.4322046313799628
t163,0.0,0.0,0.0,0.0,0.13799999999999998,-0.16304347826086954,-0.4322046313799628
t164,0.0,0.0,0.0,0.0,0.13799999999999998,-0.16304347826086954,-0.4322046313799628
t165,0.0,0.0,0.0,0.0,0.13799999999999998,-0.16304347826086954,-0.4322046313799628
t166,0.0,0.0,0.0,0.0,0.13799999999999998,-0.16304347826086954,-0.4322046313799628
t167,0.0,0.0,0.0,0.0,0.13799999999999998,-0.16304347826086954,-0.4322046313799628
t168,0.0,0.0,0.0,0.0,0.13799999999999998,-0.16304347826086954,-0.4322046313799628
t169,0.0,0.0,0.0,0.0,0.13799999999999998,-0.16304347826086954,-0.4322046313799628
t170,0.0,0.0,0.0,0.0,0.13799999999999998,-0.16304347826086954,-0.4322046313799628
