Resource,onshore_wind,solar_pv_sat,solar_btm,hydro,battery4,battery8,pumped_hydro,Total
t227,0.0,0.0,0.0,-0.0,0.0,102.44750907591263,0.0,102.44750907591263
t228,0.0,0.0,0.0,0.0,487.2359250628655,100.51182085123972,0.0,587.7477459141052
t229,0.0,0.0,0.0,-0.0,0.0,98.31161911610046,0.0,98.31161911610046
t230,0.0,0.0,0.0,-0.0,479.77832158308615,97.659778205314,0.0,577.4380997884001
t231,0.0,0.0,0.0,-0.0,0.0,97.40524720402763,-0.0,97.40524720402763
t232,0.0,0.0,0.0,0.0,471.2834410618469,97.11292852974124,0.0,568.3963695915882
t233,0.0,0.0,0.0,-0.0,0.0,96.91231183192123,0.0,96.91231183192123
t234,0.0,0.0,0.0,-0.0,463.85048090362636,96.65663293213481,0.0,560.5071138357612
t235,0.0,0.0,0.0,0.0,375.14734329278957,96.48192756134847,0.0,471.62927085413804
t236,0.0,0.0,0.0,-0.0,0.0,95.99062449306203,0.0,95.99062449306203
t237,0.0,0.0,0.0,0.0,0.0,95.87503843077567,0.0,95.87503843077567
t238,0.0,0.0,0.0,-0.0,0.0,95.54784162998926,0.0,95.54784162998926
t239,0.0,0.0,0.0,-0.0,496.3272450977563,95.24295614166928,0.0,591.5702012394256
t240,0.0,0.0,0.0,-0.0,0.0,95.0503537168829,0.0,95.0503537168829
t241,0.0,0.0,0.0,0.0,0.0,94.66881317209649,0.0,94.66881317209649
t242,0.0,0.0,0.0,-0.0,0.0,94.8463242509866,0.0,94.8463242509866
t243,0.0,0.0,0.0,-0.0,512.0904733551528,95.11128649191039,0.0,607.2017598470632
t244,0.0,0.0,0.0,0.0,0.0,95.45722245330049,0.0,95.45722245330049
t245,0.0,0.0,0.0,-0.0,0.0,95.67599829419063,0.0,95.67599829419063
t246,0.0,0.0,0.0,0.0,0.0,95.72742891858074,0.0,95.72742891858074
t247,0.0,0.0,0.0,-0.0,511.2984296438557,95.9364877945045,0.0,607.2349174383602
t248,0.0,0.0,0.0,0.0,0.0,95.98337959789464,0.0,95.98337959789464
t249,0.0,0.0,0.0,-0.0,0.0,95.9806076472848,0.0,95.9806076472848
t250,0.0,0.0,0.0,-0.0,0.0,96.06420740867492,0.0,96.06420740867492
t251,0.0,0.0,0.0,-0.0,0.0,96.04957741359868,0.0,96.04957741359868
t252,0.0,0.0,0.0,-0.0,0.0,96.07921313198881,0.0,96.07921313198881
t253,0.0,0.0,0.0,-0.0,0.0,96.03759214387892,0.0,96.03759214387892
t254,0.0,0.0,0.0,-0.0,0.0,92.68574151422754,0.0,92.68574151422754
t255,0.0,0.0,0.0,-0.0,0.0,89.01323574660982,0.0,89.01323574660982
t256,0.0,0.0,0.0,-0.0,0.0,85.56097799195842,0.0,85.56097799195842
t257,0.0,0.0,0.0,0.0,0.0,81.81428445580704,0.0,81.81428445580704
t258,0.0,0.0,0.0,-0.0,0.0,78.14856418368929,0.0,78.14856418368929
t259,0.0,0.0,0.0,-0.0,0.0,74.55302116803789,0.0,74.55302116803789
t260,0.0,0.0,0.0,-0.0,0.0,70.95885625288652,0.0,70.95885625288652
t261,0.0,0.0,0.0,-0.0,0.0,67.32042562426878,0.0,67.32042562426878
t262,0.0,0.0,0.0,0.0,0.0,63.744614712617405,0.0,63.744614712617405
t263,0.0,0.0,0.0,-0.0,0.0,59.86172342246601,0.0,59.86172342246601
t264,0.0,0.0,0.0,0.0,0.0,56.00150458384829,0.0,56.00150458384829
t265,0.0,0.0,0.0,0.0,0.0,52.053834558696906,0.0,52.053834558696906
t266,0.0,0.0,0.0,0.0,0.0,48.98643696376824,0.0,48.98643696376824
t267,0.0,-0.0,-0.0,0.0,2.4256048476267793,46.093941982373224,0.0,48.51954683
t268,0.0,-0.0,-0.0,-0.0,4.887334665055447,43.21440291494455,0.0,48.10173758
t269,0.0,-0.0,-0.0,-0.0,7.330722569950452,40.365855470049546,0.0,47.69657804
t270,0.0,-0.0,-0.0,0.0,9.782416966379131,37.50327280362087,0.0,47.28568977
t271,0.0,-0.0,-0.0,0.0,12.222609970274135,34.66012363972587,0.0,46.88273361
t272,0.0,-0.0,-0.0,-0.0,14.61070316170279,31.90500507829721,0.0,46.51570824
t273,0.0,-0.0,-0.0,0.0,17.27291635913148,28.68671823086852,0.0,45.95963459
t274,0.0,-0.0,-0.0,-0.0,19.614364580526473,26.010413699473528,0.0,45.62477828
t275,0.0,-0.0,-0.0,0.0,22.082009020455136,23.120880959544866,0.0,45.20288998
t276,0.0,-0.0,-0.0,0.0,24.570100773350184,20.196799426649818,0.0,44.7669002
t277,0.0,-0.0,-0.0,-0.0,27.34445292527883,16.789036414721167,0.0,44.13348934
t278,0.0,-0.0,-0.0,-0.0,27.71444782142997,16.089313738570027,0.0,43.80376156
t279,0.0,-0.0,-0.0,-0.0,28.15025707208114,15.278387497918864,0.0,43.42864457
t280,0.0,-0.0,-0.0,-0.0,28.40523657623229,14.77300117376771,0.0,43.17823775
t281,0.0,-0.0,-0.0,0.0,28.63058598288343,14.317679497116572,0.0,42.94826548
t282,0.0,-0.0,-0.0,-0.0,28.99970461503458,13.619437404965417,0.0,42.61914202
t283,0.0,-0.0,-0.0,0.0,29.119623231185763,13.342257408814234,0.0,42.46188064
t284,0.0,-0.0,-0.0,0.0,29.35406713230325,12.87156928769675,0.0,42.22563642
t285,0.0,-0.0,-0.0,0.0,29.67860626845443,12.248651171545566,0.0,41.92725744
t286,0.0,-0.0,-0.0,-0.0,29.86321000810556,11.862175621894437,0.0,41.72538563
t287,0.0,-0.0,-0.0,-0.0,30.04589684775672,11.47893897224328,0.0,41.52483582
t288,0.0,-0.0,-0.0,0.0,30.356378538407867,10.879773091592135,0.0,41.23615163
t289,0.0,-0.0,-0.0,-0.0,30.743896684559022,10.150442165440975,0.0,40.89433885
t290,0.0,-0.0,-0.0,0.0,29.777454311887755,10.813114808112243,0.0,40.59056912
t291,0.0,-0.0,-0.0,0.0,28.66915962821644,11.715468941783556,0.0,40.38462857
t292,0.0,-0.0,-0.0,-0.0,27.51294201701149,12.698796412988507,0.0,40.21173843
t293,0.0,-0.0,-0.0,0.0,26.415511197340223,13.582794362659776,0.0,39.99830556
t294,0.0,-0.0,-0.0,-0.0,25.307856761168928,14.484066698831072,0.0,39.79192346
t295,0.0,-0.0,-0.0,-0.0,24.211703884497602,15.3659053655024,0.0,39.57760925
t296,0.0,-0.0,-0.0,-0.0,22.931144053326324,16.55932819667368,0.0,39.49047225
t297,0.0,-0.0,-0.0,0.0,21.663363724655042,17.731158075344958,0.0,39.3945218
t298,0.0,-0.0,-0.0,0.0,20.433283040950087,18.839288669049914,0.0,39.27257171
t299,0.0,-0.0,-0.0,-0.0,0.0,39.14014051,0.0,39.14014051
t300,0.0,-0.0,-0.0,0.0,17.885306309107506,21.203927310892496,0.0,39.08923362
t301,0.0,-0.0,-0.0,-0.0,16.67872975543623,22.27234391456377,0.0,38.95107367
t302,0.0,-0.0,-0.0,0.0,0.0,38.7608446,0.0,38.7608446
t303,0.0,-0.0,-0.0,0.0,17.08039800754163,21.62858852245837,0.0,38.70898653
t304,0.0,-0.0,-0.0,-0.0,17.276120194627993,21.315348125372005,0.0,38.59146832
t305,0.0,-0.0,-0.0,-0.0,17.3195457426807,21.2594366473193,0.0,38.57898239
t306,0.0,-0.0,-0.0,0.0,0.0,38.5532763,0.0,38.5532763
t307,0.0,-0.0,-0.0,0.0,0.0,38.50024852,0.0,38.50024852
t308,0.0,-0.0,-0.0,-0.0,17.54351569537246,20.93339271462754,0.0,38.47690841
t309,0.0,-0.0,-0.0,0.0,0.0,38.40685704,0.0,38.40685704
t310,0.0,-0.0,-0.0,-0.0,17.850341448477913,20.449888441522084,0.0,38.30022989
t311,0.0,-0.0,-0.0,0.0,0.0,38.34534632,0.0,38.34534632
t312,0.0,-0.0,-0.0,0.0,17.912636830616968,20.379556059383034,0.0,38.29219289
