Resource,onshore_wind,solar_pv_sat,hydro,battery,pumped_hydro,Total
t9423,0.0,324.58330683376846,0.0,0.0,0.0,324.58330683376846
t9424,0.0,315.6773357226924,0.0,0.0,-0.0,315.6773357226924
t9425,0.0,306.77136420889076,0.0,0.0,0.0,306.77136420889076
t9426,0.0,297.8653930978147,0.0,0.0,-0.0,297.8653930978147
t9427,0.0,288.9594219867387,0.0,0.0,0.0,288.9594219867387
t9428,0.0,267.25426500571996,-0.0,0.0,-0.0,267.25426500571996
t9429,0.0,245.54910802470124,-0.0,0.0,0.0,245.54910802470124
t9430,0.0,223.8439514464081,0.0,0.0,-0.0,223.8439514464081
t9431,0.0,202.13879446538942,0.0,0.0,0.0,202.13879446538942
t9432,0.0,180.43363748437073,0.0,0.0,0.0,180.43363748437073
t9433,0.0,158.72848050335202,0.0,0.0,0.0,158.72848050335202
t9434,0.0,137.45077239544807,0.0,0.0,0.0,137.45077239544807
t9435,0.0,116.1730638848186,0.0,0.0,-0.0,116.1730638848186
t9436,0.0,94.89535577691467,0.0,5.232599823085337,-0.0,100.1279556
t9437,0.0,73.61764726628519,0.0,26.71677673371481,-0.0,100.334424
t9438,0.0,52.33993915838127,0.0,48.179360441618726,-0.0,100.5192996
t9439,0.0,31.062230647751782,0.0,69.4797771522482,0.0,100.5420078
