Resource,onshore_wind,solar_pv_sat,hydro,battery,pumped_hydro
t236,0.0,0.0,0.0,-3.128,-2.84
t237,0.0,0.0,0.0,-3.128,-2.84
t238,0.0,0.0,0.0,-3.128,-2.84
t239,0.0,0.0,0.0,-3.128,-2.84
t240,0.0,0.0,0.0,-3.128,-2.84
t241,0.0,0.0,0.0,-3.128,-2.84
t242,0.0,0.0,0.0,-3.128,-2.84
t243,0.0,0.0,0.0,-3.128,-2.84
t244,0.0,0.0,0.0,-3.128,-2.84
t245,0.0,0.0,0.0,-3.128,-2.84
t246,0.0,0.0,0.0,-3.128,-2.84
t247,0.0,0.0,0.0,-3.128,-2.84
t248,0.0,0.0,0.0,-3.128,-2.84
t249,0.0,0.0,0.0,-3.128,-2.84
t250,0.0,0.0,0.0,-3.128,-2.84
t251,0.0,0.0,0.0,-3.128,-2.84
t252,0.0,0.0,0.0,-3.128,-2.84
t253,0.0,0.0,0.0,-3.128,-2.84
t254,0.0,0.0,0.0,-3.128,-2.84
t255,0.0,0.0,0.0,-3.128,-2.84
t256,0.0,0.0,0.0,-3.128,-2.84
t257,0.0,0.0,0.0,-3.128,-2.84
t258,0.0,0.0,0.0,-3.128,-2.84
t259,0.0,0.0,0.0,-3.128,-2.84
t260,0.0,0.0,0.0,-3.128,-2.84
t261,0.0,0.0,0.0,-3.128,-2.84
t262,0.0,0.0,0.0,-3.128,-2.84
t263,0.0,0.0,0.0,-3.128,-2.84
t264,0.0,0.0,0.0,-3.128,-2.84
t265,0.0,0.0,0.0,-3.128,-2.84
t266,0.0,0.0,0.0,-3.128,-2.84
t267,0.0,0.0,0.0,-3.128,-2.84
t268,0.0,0.0,0.0,-3.128,-2.84
t269,0.0,0.0,0.0,-3.128,-2.84
t270,0.0,0.0,0.0,-3.128,-2.84
t271,0.0,0.0,0.0,-3.128,-2.84
t272,0.0,0.0,0.0,-3.128,-2.84
t273,0.0,0.0,0.0,-3.128,-2.84
t274,0.0,0.0,0.0,-3.128,-2.84
t275,0.0,0.0,0.0,-3.128,-2.84
t276,0.0,0.0,0.0,-3.128,-2.84
t277,0.0,0.0,0.0,-3.128,-2.84
t278,0.0,0.0,0.0,-3.128,-2.84
t279,0.0,0.0,0.0,-3.128,-2.84
t280,0.0,0.0,0.0,-3.128,-2.84
t281,0.0,0.0,0.0,-3.128,-2.84
t282,0.0,0.0,0.0,-3.128,-2.84
t283,0.0,0.0,0.0,-3.128,-2.84
t284,0.0,0.0,0.0,-3.128,-2.84
t285,0.0,0.0,0.0,-3.128,-2.84
t286,0.0,0.0,0.0,-3.128,-2.84
t287,0.0,0.0,0.0,-3.128,-2.84
t288,0.0,0.0,0.0,-3.128,-2.84
t289,0.0,0.0,0.0,-3.128,-2.84
t290,0.0,0.0,0.0,-3.128,-2.84
t291,0.0,0.0,0.0,-3.128,-2.84
t292,0.0,0.0,0.0,-3.128,-2.84
t293,0.0,0.0,0.0,-3.128,-2.84
t294,0.0,0.0,0.0,-3.128,-2.84
t295,0.0,0.0,0.0,-3.128,-2.84
t296,0.0,0.0,0.0,-3.128,-2.84
t297,0.0,0.0,0.0,-3.128,-2.84
t298,0.0,0.0,0.0,-3.128,-2.84
t299,0.0,0.0,0.0,-3.128,-2.84
t300,0.0,0.0,0.0,-3.128,-2.84
t301,0.0,0.0,0.0,-3.128,-2.84
t302,0.0,0.0,0.0,-3.128,-2.84
t303,0.0,0.0,0.0,-3.128,-2.84
t304,0.0,0.0,0.0,-3.128,-2.84
t305,0.0,0.0,0.0,-3.128,-2.84
t306,0.0,0.0,0.0,-3.128,-2.84
t307,0.0,0.0,0.0,-3.128,-2.84
t308,0.0,0.0,0.0,-3.128,-2.84
t309,0.0,0.0,0.0,-3.128,-2.84
t310,0.0,0.0,0.0,-3.128,-2.84
t311,0.0,0.0,0.0,-3.128,-2.84
t312,0.0,0.0,0.0,-3.128,-2.84
t313,0.0,0.0,0.0,-3.128,-2.84
t314,0.0,0.0,0.0,-3.128,-2.84
t315,0.0,0.0,0.0,-3.128,-2.84
t316,0.0,0.0,0.0,-3.128,-2.84
t317,0.0,0.0,0.0,-3.128,-2.84
t318,0.0,0.0,0.0,-3.128,-2.84
t319,0.0,0.0,0.0,-3.128,-2.84
t320,0.0,0.0,0.0,-3.128,-2.84
t321,0.0,0.0,0.0,-3.128,-2.84
t322,0.0,0.0,0.0,-3.128,-2.84
t323,0.0,0.0,0.0,-3.128,-2.84
t324,0.0,0.0,0.0,-3.128,-2.84
t325,0.0,0.0,0.0,-3.128,-2.84
t326,0.0,0.0,0.0,-3.128,-2.84
t327,0.0,0.0,0.0,-3.128,-2.84
t328,0.0,0.0,0.0,-3.128,-2.84
t329,0.0,0.0,0.0,-3.128,-2.84
t330,0.0,0.0,0.0,-3.128,-2.84
t331,0.0,0.0,0.0,-3.128,-2.84
t332,0.0,0.0,0.0,-3.128,-2.84
t333,0.0,0.0,0.0,-3.128,-2.84
t334,0.0,0.0,0.0,-3.128,-2.84
t335,0.0,0.0,0.0,-3.128,-2.84
t336,0.0,0.0,0.0,-3.128,-2.84
t337,0.0,0.0,0.0,-3.128,-0.0
t338,0.0,0.0,0.0,-3.128,-2.84
t339,0.0,0.0,0.0,-3.128,-2.84
t340,0.0,0.0,0.0,-3.128,-2.84
t341,0.0,0.0,0.0,-3.128,-2.84
t342,0.0,0.0,0.0,-3.128,-2.84
t343,0.0,0.0,0.0,-3.128,-2.84
t344,0.0,0.0,0.0,-3.128,-2.84
t345,0.0,0.0,0.0,-3.128,-2.84
t346,0.0,0.0,0.0,-3.128,-2.84
t347,0.0,0.0,0.0,-3.128,-2.84
t348,0.0,0.0,0.0,-3.128,-2.84
t349,0.0,0.0,0.0,-3.128,-2.84
t350,0.0,0.0,0.0,-3.128,-2.84
t351,0.0,0.0,0.0,-3.128,-2.84
t352,0.0,0.0,0.0,-3.128,-2.84
t353,0.0,0.0,0.0,-3.128,-2.84
t354,0.0,0.0,0.0,-3.128,-2.84
t355,0.0,0.0,0.0,-3.128,-2.84
t356,0.0,0.0,0.0,-3.128,-2.84
t357,0.0,0.0,0.0,-3.128,-2.84
t358,0.0,0.0,0.0,-3.128,-2.84
t359,0.0,0.0,0.0,-3.128,-2.84
t360,0.0,0.0,0.0,-3.128,-2.84
t361,0.0,0.0,0.0,-3.128,-2.84
t362,0.0,0.0,0.0,-3.128,-2.84
t363,0.0,0.0,0.0,-3.128,-2.84
t364,0.0,0.0,0.0,-3.128,-2.84
t365,0.0,0.0,0.0,-3.128,-2.84
t366,0.0,0.0,0.0,-3.128,-2.84
t367,0.0,0.0,0.0,-3.128,-2.84
t368,0.0,0.0,0.0,-3.128,-2.84
t369,0.0,0.0,0.0,-3.128,-2.84
t370,0.0,0.0,0.0,-3.128,-2.84
t371,0.0,0.0,0.0,-3.128,-2.84
t372,0.0,0.0,0.0,-3.128,-2.84
t373,0.0,0.0,0.0,-3.128,-2.84
t374,0.0,0.0,0.0,-3.128,-2.84
t375,0.0,0.0,0.0,-3.128,-2.84
t376,0.0,0.0,0.0,-3.128,-0.0
t377,0.0,0.0,0.0,-0.16304347826086954,-0.0
t378,0.0,0.0,0.0,-0.16304347826086954,-0.0
t379,0.0,0.0,0.0,-0.16304347826086954,-0.0
t380,0.0,0.0,0.0,-0.16304347826086954,-0.0
t381,0.0,0.0,0.0,-0.16304347826086954,-0.0
t382,0.0,0.0,0.0,-0.16304347826086954,-0.0
t383,0.0,0.0,0.0,-0.16304347826086954,-0.0
t384,0.0,0.0,0.0,-0.16304347826086954,-0.0
t385,0.0,0.0,0.0,-0.16304347826086954,-0.0
t386,0.0,0.0,0.0,-0.16304347826086954,-0.0
t387,0.0,0.0,0.0,-0.16304347826086954,-0.0
t388,0.0,0.0,0.0,-0.16304347826086954,-0.0
t389,0.0,0.0,0.0,-0.16304347826086954,-0.0
t390,0.0,0.0,0.0,-0.16304347826086954,-0.0
t391,0.0,0.0,0.0,-0.16304347826086954,-0.0
t392,0.0,0.0,0.0,-0.16304347826086954,-0.0
t393,0.0,0.0,0.0,-0.16304347826086954,-0.0
t394,0.0,0.0,0.0,-0.16304347826086954,-0.0
t395,0.0,0.0,0.0,-0.16304347826086954,-0.0
t396,0.0,0.0,0.0,-0.16304347826086954,-0.0
t397,0.0,0.0,0.0,-0.16304347826086954,-0.0
t398,0.0,0.0,0.0,-0.16304347826086954,-0.0
t399,0.0,0.0,0.0,-0.16304347826086954,-0.0
t400,0.0,0.0,0.0,-0.16304347826086954,-0.0
t401,0.0,0.0,0.0,-0.16304347826086954,-0.0
t402,0.0,0.0,0.0,-0.16304347826086954,-0.0
t403,0.0,0.0,0.0,-0.16304347826086954,-0.0
t404,0.0,0.0,0.0,-0.16304347826086954,-0.0
t405,0.0,0.0,0.0,-0.16304347826086954,-0.0
t406,0.0,0.0,0.0,-0.16304347826086954,-0.0
t407,0.0,0.0,0.0,-0.16304347826086954,-0.0
t408,0.0,0.0,0.0,-0.16304347826086954,-0.0
t409,0.0,0.0,0.0,-0.16304347826086954,-0.0
t410,0.0,0.0,0.0,-0.16304347826086954,-0.0
t411,0.0,0.0,0.0,-0.16304347826086954,-0.0
t412,0.0,0.0,0.0,-0.16304347826086954,-0.0
t413,0.0,0.0,0.0,-0.16304347826086954,-0.0
t414,0.0,0.0,0.0,-0.16304347826086954,-0.0
t415,0.0,0.0,0.0,-0.16304347826086954,-0.0
t416,0.0,0.0,0.0,-0.16304347826086954,-0.0
t417,0.0,0.0,0.0,-0.16304347826086954,-0.0
t418,0.0,0.0,0.0,-0.16304347826086954,-0.0
t419,0.0,0.0,0.0,-0.16304347826086954,-0.0
t420,0.0,0.0,0.0,-0.16304347826086954,-0.0
t421,0.0,0.0,0.0,-0.16304347826086954,-0.0
t422,0.0,0.0,0.0,-0.16304347826086954,-0.0
t423,0.0,0.0,0.0,-0.16304347826086954,-0.0
t424,0.0,0.0,0.0,-0.16304347826086954,-0.0
t425,0.0,0.0,0.0,-0.16304347826086954,-0.0
t426,0.0,0.0,0.0,-0.16304347826086954,-0.0
t427,0.0,0.0,0.0,-0.16304347826086954,-0.0
t428,0.0,0.0,0.0,-0.16304347826086954,-0.0
t429,0.0,0.0,0.0,-0.16304347826086954,-0.0
t430,0.0,0.0,0.0,-0.16304347826086954,-0.0
t431,0.0,0.0,0.0,-0.16304347826086954,-0.0
t432,0.0,0.0,0.0,-0.16304347826086954,-0.0
t433,0.0,0.0,0.0,-0.16304347826086954,-0.0
t434,0.0,0.0,0.0,-0.16304347826086954,-0.0
t435,0.0,0.0,0.0,-0.16304347826086954,-0.0
t436,0.0,0.0,0.0,-0.16304347826086954,-0.0
t437,0.0,0.0,0.0,-0.16304347826086954,-0.0
t438,0.0,0.0,0.0,-0.16304347826086954,-0.0
t439,0.0,0.0,0.0,-0.16304347826086954,-0.0
t440,0.0,0.0,0.0,-0.16304347826086954,-0.0
t441,0.0,0.0,0.0,-0.16304347826086954,-0.0
t442,0.0,0.0,0.0,-0.16304347826086954,-0.0
t443,0.0,0.0,0.0,-0.16304347826086954,-0.0
t444,0.0,0.0,0.0,-0.16304347826086954,-0.0
t445,0.0,0.0,0.0,-0.16304347826086954,-0.0
t446,0.0,0.0,0.0,-0.16304347826086954,-0.0
t447,0.0,0.0,0.0,-0.16304347826086954,-0.0
t448,0.0,0.0,0.0,-0.16304347826086954,-0.0
t449,0.0,0.0,0.0,-0.16304347826086954,-0.0
t450,0.0,0.0,0.0,-0.16304347826086954,-0.0
t451,0.0,0.0,0.0,-0.16304347826086954,-0.0
t452,0.0,0.0,0.0,-0.16304347826086954,-0.0
t453,0.0,0.0,0.0,-0.16304347826086954,-0.0
t454,0.0,0.0,0.0,-0.16304347826086954,-0.0
t455,0.0,0.0,0.0,-0.16304347826086954,-0.0
t456,0.0,0.0,0.0,-0.16304347826086954,-0.0
t457,0.0,0.0,0.0,-0.16304347826086954,-0.0
t458,0.0,0.0,0.0,-0.16304347826086954,-0.0
t459,0.0,0.0,0.0,-0.16304347826086954,-0.0
t460,0.0,0.0,0.0,-0.16304347826086954,-0.0
t461,0.0,0.0,0.0,-0.16304347826086954,-0.0
t462,0.0,0.0,0.0,-0.16304347826086954,-0.0
t463,0.0,0.0,0.0,-0.16304347826086954,-0.0
t464,0.0,0.0,0.0,-0.16304347826086954,-0.0
t465,0.0,0.0,0.0,-0.16304347826086954,-0.0
t466,0.0,0.0,0.0,-0.16304347826086954,-0.0
t467,0.0,0.0,0.0,-0.16304347826086954,-0.0
t468,0.0,0.0,0.0,-0.16304347826086954,-0.0
t469,0.0,0.0,0.0,-0.16304347826086954,-0.0
t470,0.0,0.0,0.0,-0.16304347826086954,-0.0
t471,0.0,0.0,0.0,-0.16304347826086954,-0.0
t472,0.0,0.0,0.0,-0.16304347826086954,-0.0
t473,0.0,0.0,0.0,-0.16304347826086954,-0.0
t474,0.0,0.0,0.0,-0.16304347826086954,-0.0
t475,0.0,0.0,0.0,-0.16304347826086954,-0.0
t476,0.0,0.0,0.0,-0.16304347826086954,-0.0
t477,0.0,0.0,0.0,-0.16304347826086954,-0.0
t478,0.0,0.0,0.0,-0.16304347826086954,-0.0
t479,0.0,0.0,0.0,-0.16304347826086954,-0.0
t480,0.0,0.0,0.0,-0.16304347826086954,-0.0
t481,0.0,0.0,0.0,-0.16304347826086954,-0.0
t482,0.0,0.0,0.0,-0.16304347826086954,-0.0
t483,0.0,0.0,0.0,-0.16304347826086954,-0.0
t484,0.0,0.0,0.0,-0.16304347826086954,-0.0
t485,0.0,0.0,0.0,-0.16304347826086954,-0.0
t486,0.0,0.0,0.0,-0.16304347826086954,-2.84
t487,0.0,0.0,0.0,-3.128,-2.84
t488,0.0,0.0,0.0,-3.128,-2.84
t489,0.0,0.0,0.0,-3.128,-2.84
t490,0.0,0.0,0.0,-3.128,-2.84
t491,0.0,0.0,0.0,-3.128,-2.84
t492,0.0,0.0,0.0,-3.128,-2.84
t493,0.0,0.0,0.0,-3.128,-2.84
t494,0.0,0.0,0.0,-3.128,-2.84
t495,0.0,0.0,0.0,-3.128,-2.84
t496,0.0,0.0,0.0,-3.128,-2.84
t497,0.0,0.0,0.0,-3.128,-2.84
t498,0.0,0.0,0.0,-3.128,-2.84
t499,0.0,0.0,0.0,-3.128,-2.84
t500,0.0,0.0,0.0,-3.128,-2.84
t501,0.0,0.0,0.0,-3.128,-2.84
t502,0.0,0.0,0.0,-3.128,-2.84
t503,0.0,0.0,0.0,-3.128,-2.84
t504,0.0,0.0,0.0,-3.128,-2.84
t505,0.0,0.0,0.0,-3.128,-2.84
t506,0.0,0.0,0.0,-3.128,-2.84
t507,0.0,0.0,0.0,-3.128,-2.84
t508,0.0,0.0,0.0,-3.128,-2.84
t509,0.0,0.0,0.0,-3.128,-2.84
