Resource,natural_gas_combined_cycle,solar_pv,onshore_wind,battery
t177,0.0,0.0,0.0,3007.597035629265
t178,0.0,0.0,0.0,5926.818550809643
t179,0.0,0.0,0.0,2751.066371776957
t180,0.0,0.0,0.0,6682.3436715633325
t181,0.0,0.0,0.0,14449.869264745572
t182,0.0,0.0,0.0,22217.39485792781
t183,0.0,0.0,0.0,29930.357503204308
t184,0.0,0.0,0.0,33087.398388290465
t185,0.0,0.0,0.0,33087.398388290465
t186,0.0,0.0,0.0,29076.79996893829
t187,0.0,0.0,0.0,23091.245353668313
t188,0.0,0.0,0.0,14924.533812080905
t189,0.0,0.0,0.0,7187.808078513101
t190,0.0,0.0,0.0,6065.898475809453
t191,0.0,0.0,0.0,2429.3960140696486
t192,0.0,0.0,0.0,8771.725693783017
t193,0.0,0.0,0.0,405.54228991716104
t194,0.0,0.0,0.0,7424.274598996354
t195,0.0,0.0,0.0,1483.6195725917253
t196,0.0,0.0,0.0,9251.145165773965
t197,0.0,0.0,0.0,1710.3200572006185
t198,0.0,0.0,0.0,6319.910696767636
t199,0.0,0.0,0.0,4478.82925198413
t200,0.0,0.0,0.0,3976.6445143028723
t201,0.0,0.0,0.0,4770.957367995865
t202,0.0,0.0,0.0,3729.387276910539
t203,0.0,0.0,0.0,9972.278987962227
t204,0.0,0.0,0.0,15458.525088893402
t205,0.0,0.0,0.0,22691.869926757005
t206,0.0,0.0,0.0,24047.701957177815
t207,0.0,0.0,0.0,30858.55721430895
t208,0.0,0.0,0.0,33087.398388290465
t209,0.0,0.0,0.0,28785.428813322134
t210,0.0,0.0,0.0,19608.295551055784
t211,0.0,0.0,0.0,10431.162288789432
t212,0.0,0.0,0.0,12241.020022883584
t213,0.0,0.0,0.0,11843.547949811778
t214,0.0,0.0,0.0,13013.110565670797
t215,0.0,0.0,0.0,14753.533482410074
t216,0.0,0.0,0.0,18173.431998628424
t217,0.0,0.0,0.0,17387.32991758959
t218,0.0,0.0,0.0,16863.36923006446
t219,0.0,0.0,0.0,21944.448902805594
t220,0.0,0.0,0.0,24754.728503758983
t221,0.0,0.0,0.0,28403.393933135438
t222,0.0,0.0,0.0,25387.705760519068
t223,0.0,0.0,0.0,16210.572498252717
t224,0.0,0.0,0.0,7033.439235986366
t225,0.0,0.0,0.0,3062.7832076235686
t226,0.0,0.0,0.0,5175.18588624965
t227,0.0,0.0,0.0,9292.657857659111
t228,0.0,0.0,0.0,14332.348408144233
t229,0.0,0.0,0.0,19564.705754801766
t230,0.0,0.0,0.0,24667.60745388394
t231,0.0,0.0,0.0,24878.410245540977
t232,0.0,0.0,0.0,21254.813431473514
t233,0.0,0.0,0.0,12077.680169207164
t234,0.0,0.0,0.0,19845.205762389403
t235,0.0,0.0,0.0,10668.072500123055
t236,0.0,0.0,0.0,2203.295826692481
t237,0.0,0.0,0.0,5902.656005469724
t238,0.0,0.0,0.0,2771.517550152665
t239,0.0,0.0,0.0,8960.928272739733
t240,0.0,0.0,0.0,2305.3659074638535
t241,0.0,0.0,0.0,5816.263889104834
t242,0.0,0.0,0.0,10999.563993774756
