Resource,onshore_wind,solar_pv_sat,solar_btm,solar_btm_curt,hydro,battery4,battery8,pumped_hydro
t76,0.0,0.0,0.0,0.0,0.0,-0.1630434782610515,-0.16304347826086643,-0.3538318030273146
t77,0.0,0.0,0.0,0.0,0.0,-0.1630434782610411,-0.16304347826086626,-0.3538258335990925
t78,0.0,0.0,0.0,0.0,0.0,-0.16304347826102994,-0.1630434782608661,-0.35274737191344163
t79,0.0,0.0,0.0,0.0,0.0,-0.16304347826101798,-0.16304347826086593,-0.35061633971007505
t80,0.0,0.0,0.0,0.0,0.0,-0.16304347826100493,-0.16304347826086574,-0.3473569622340931
t81,0.0,0.0,0.0,0.0,0.0,-0.1630434782609751,-0.1630434782608652,-0.31931537060999693
t82,0.0,0.0,0.0,0.0,0.0,-0.16304347826095908,-0.16304347826086502,-0.311509837141872
t83,0.0,0.0,0.0,0.0,0.0,-0.16304347826094093,-0.16304347826086482,-0.3017622961407307
t84,0.0,0.0,0.0,0.0,0.0,-0.1630434782609198,-0.1630434782608646,-0.2878631865355302
t85,0.0,0.0,0.0,0.0,0.0,-0.16304347826089435,-0.16304347826086443,-0.26680069562910985
t86,0.0,0.0,0.0,0.0,0.0,-0.16304347826084117,-0.16304347826086396,-0.19336280772950537
t87,0.0,0.0,0.0,0.0,0.0,-0.1630434782608155,-0.16304347826086377,-0.14836921846703513
t88,0.0,0.0,0.0,0.0,0.0,-0.16304347826079083,-0.16304347826086354,-0.12192800146490826
t89,0.0,0.0,0.0,0.0,0.0,-0.16304347826077117,-0.16304347826086332,-0.10489834759880941
t90,0.0,0.0,0.0,0.0,0.0,-0.16304347826075505,-0.1630434782608631,-0.0935574102211457
t91,0.0,0.0,0.0,0.0,0.0,-0.1630434782607255,-0.16304347826086263,-0.0619130642893668
t92,0.0,0.0,0.0,0.0,0.0,-0.16304347826071355,-0.1630434782608624,-0.056857824429657616
t93,0.0,0.0,0.0,0.0,0.0,-0.16304347826070287,-0.16304347826086218,-0.05249337175414817
t94,0.0,0.0,0.0,0.0,0.0,-0.16304347826069318,-0.16304347826086202,-0.049785365864822156
t95,0.0,0.0,0.0,0.0,0.0,-0.16304347826068438,-0.16304347826086182,-0.048703034188019995
t96,0.0,0.0,0.0,0.0,0.0,-0.16304347826066537,-0.16304347826086135,-0.02819450712660615
t97,0.0,0.0,0.0,0.0,0.0,-0.16304347826065782,-0.16304347826086119,-0.028475397759248792
t98,0.0,0.0,0.0,0.0,0.0,-0.1630434782606508,-0.16304347826086102,-0.029074314254373457
t99,0.0,0.0,0.0,0.0,0.0,-0.16304347826064422,-0.16304347826086085,-0.03014933984114085
t100,0.0,0.0,0.0,0.0,0.0,-0.16304347826063803,-0.1630434782608607,-0.031924280994711896
t101,0.0,0.0,0.0,0.0,0.0,-0.16304347826062351,-0.16304347826086027,-0.014196588240214214
t102,0.0,0.0,0.0,0.0,0.0,-0.163043478260618,-0.16304347826086013,-0.016316612726007484
t103,0.0,0.0,0.0,0.0,0.0,-0.16304347826061283,-0.16304347826086,-0.01848509846488913
t104,0.0,0.0,0.0,0.0,0.0,-0.16304347826060792,-0.16304347826085985,-0.02096158174646399
t105,0.0,0.0,0.0,0.0,0.0,-0.16304347826060328,-0.16304347826085971,-0.02401061213444302
t106,0.0,0.0,0.0,0.0,0.0,-0.16304347826059135,-0.16304347826085933,-0.0077291836419573256
t107,0.0,0.0,0.0,0.0,0.0,-0.16304347826058715,-0.16304347826085921,-0.010851963871771569
t108,0.0,0.0,0.0,0.0,0.0,-0.16304347826058319,-0.1630434782608591,-0.013871058815364198
t109,0.0,0.0,0.0,0.0,0.0,-0.16304347826057944,-0.163043478260859,-0.017043694985049825
t110,0.0,0.0,0.0,0.0,0.0,-0.16304347826057583,-0.16304347826085888,-0.020666231388921597
t111,0.0,0.0,0.0,0.0,0.0,-0.16304347826056584,-0.16304347826085855,-0.0050249664872725
t112,0.0,0.0,0.0,0.0,0.0,-0.16304347826056265,-0.16304347826085847,-0.008603222087915486
