Resource,onshore_wind,solar_pv_sat,solar_btm,solar_btm_curt,hydro,battery4,battery8,pumped_hydro_long,pumped_hydro_short,geothermal
t155,0.0,0.0,0.0,0.0,1494.1133280010024,0.0,955.2552674039279,0.0,0.0,0.0
t156,0.0,0.0,0.0,0.0,1494.8980674850025,0.0,955.2552674039279,0.0,0.0,0.0
t157,0.0,0.0,0.0,0.0,1495.6836500890024,0.0,955.2552674039279,0.0,0.0,0.0
t158,0.0,0.0,0.0,0.0,1496.4715259470024,0.0,955.2552674039279,0.0,0.0,0.0
t159,0.0,0.0,0.0,0.0,1497.2616950590025,0.0,955.2552674039279,0.0,0.0,0.0
t160,0.0,0.0,0.0,0.0,1498.0541574190024,0.0,955.2552674039279,0.0,0.0,0.0
t161,0.0,0.0,0.0,0.0,1498.8489130390024,0.0,955.2552674039279,0.0,0.0,0.0
t162,0.0,0.0,0.0,0.0,1499.6459619130023,0.0,955.2552674039279,0.0,0.0,0.0
t163,0.0,0.0,0.0,0.0,1500.4453040410024,0.0,955.2552674039279,0.0,0.0,0.0
t164,0.0,0.0,0.0,0.0,1501.2469394170023,0.0,955.2552674039279,0.0,0.0,0.0
t165,0.0,0.0,0.0,0.0,1502.0508680470023,0.0,995.3503986829282,0.0,0.0,0.0
t166,0.0,0.0,0.0,0.0,1502.8570899310023,0.0,995.3503986829282,0.0,0.0,0.0
t167,0.0,0.0,0.0,0.0,1503.6656050690024,0.0,995.3503986829282,0.0,0.0,0.0
t168,0.0,0.0,0.0,0.0,1504.4764134550023,0.0,995.3503986829282,0.0,0.0,0.0
t169,0.0,0.0,0.0,0.0,1505.2895150950023,0.0,995.3503986829282,0.0,0.0,0.0
t170,0.0,0.0,0.0,0.0,1506.1148415010023,0.0,995.3503986829282,0.0,0.0,0.0
t171,0.0,0.0,0.0,0.0,1506.9523926790023,0.0,995.3503986829282,0.0,0.0,0.0
t172,0.0,0.0,0.0,0.0,1507.8021686230022,0.0,995.3503986829282,0.0,0.0,0.0
t173,0.0,0.0,0.0,0.0,1508.6641693390022,0.0,995.3503986829282,0.0,0.0,0.0
t174,0.0,0.0,0.0,0.0,1509.5383948210022,0.0,995.3503986829282,0.0,0.0,0.0
t175,0.0,0.0,0.0,0.0,1510.4248450750022,0.0,995.3503986829282,0.0,0.0,0.0
t176,0.0,0.0,0.0,0.0,1511.323520095002,0.0,995.3503986829282,0.0,0.0,0.0
t177,0.0,0.0,0.0,0.0,1512.234419887002,0.0,995.3503986829282,0.0,0.0,0.0
t178,0.0,0.0,0.0,0.0,1513.157544445002,0.0,995.3503986829282,0.0,0.0,0.0
t179,0.0,0.0,0.0,0.0,1514.092893775002,0.0,995.3503986829282,0.0,0.0,0.0
t180,0.0,0.0,0.0,0.0,1515.0404678770021,0.0,995.3503986829282,0.0,0.0,0.0
t181,0.0,0.0,0.0,0.0,1516.0002667450021,0.0,995.3503986829282,0.0,0.0,0.0
t182,0.0,0.0,0.0,0.0,1517.0175307090021,0.0,995.3503986829282,0.0,0.0,0.0
t183,0.0,0.0,0.0,0.0,1518.092259769002,0.0,995.3503986829282,0.0,0.0,0.0
t184,0.0,0.0,0.0,0.0,1519.224453925002,0.0,995.3503986829282,0.0,0.0,0.0
t185,0.0,0.0,0.0,0.0,1520.414113177002,0.0,1028.240886581859,0.0,0.0,0.0
t186,0.0,0.0,0.0,0.0,1521.6612375310021,0.0,1028.240886581859,0.0,0.0,0.0
t187,0.0,0.0,0.0,0.0,1522.9658269870022,0.0,1028.240886581859,0.0,0.0,0.0
t188,0.0,0.0,0.0,0.0,1524.3278815390022,0.0,1028.240886581859,0.0,0.0,0.0
t189,0.0,0.0,0.0,0.0,1525.7474011870022,0.0,1028.240886581859,0.0,0.0,0.0
t190,0.0,0.0,0.0,0.0,1527.2243859310022,0.0,1028.240886581859,0.0,0.0,0.0
t191,0.0,0.0,0.0,0.0,1528.7588357710022,0.0,1028.240886581859,0.0,0.0,0.0
t192,0.0,0.0,0.0,0.0,1530.3507507070021,0.0,1028.240886581859,0.0,0.0,0.0
t193,0.0,0.0,0.0,0.0,1532.000130745002,0.0,1028.240886581859,0.0,0.0,0.0
t194,0.0,0.0,0.0,0.0,1533.7121108470021,0.0,1028.240886581859,0.0,0.0,0.0
t195,0.0,0.0,0.0,0.0,1535.4866910130022,0.0,1068.887765353713,0.0,0.0,0.0
t196,0.0,0.0,0.0,0.0,1537.3238712490022,0.0,1068.887765353713,0.0,0.0,0.0
t197,0.0,0.0,0.0,0.0,1539.2236515490022,0.0,1068.887765353713,0.0,0.0,0.0
t198,0.0,0.0,0.0,0.0,1541.1860319130021,0.0,1068.887765353713,0.0,0.0,0.0
t199,0.0,0.0,0.0,0.0,1543.2110123470022,0.0,1068.887765353713,0.0,0.0,0.0
t200,0.0,0.0,0.0,0.0,1545.2985928450023,0.0,1068.887765353713,0.0,0.0,0.0
