Resource,onshore_wind,solar_pv_sat,solar_btm,solar_btm_curt,hydro,battery4,battery8,pumped_hydro_long,pumped_hydro_short,geothermal,Total
t184,0.0,19.77820595384,11.11672577912,2.81120564704,0.0,0.0,0.0,0.0,0.0,16.0,49.70613738
t185,0.0,55.036487375354795,11.46552601649,2.89941050308,0.0,0.0,0.0,0.0,0.0,16.0,85.40142389492479
t186,0.0,18.791945457020002,11.81432625386,2.98761535912,0.0,0.0,0.0,0.0,0.0,16.0,49.59388707
t187,0.0,18.338034973379997,12.16312652334,3.0758202232799996,0.0,0.0,0.0,0.0,0.0,16.0,49.57698172
t188,0.0,18.995705523860003,11.54413640198,2.9192895541599997,0.0,0.0,0.0,0.0,0.0,16.0,49.45913148
t189,0.0,19.701409314340005,10.92514628062,2.76275888504,0.0,0.0,0.0,0.0,0.0,16.0,49.38931448
t190,0.0,20.485552744820005,10.30615615926,2.60622821592,0.0,0.0,0.0,0.0,0.0,16.0,49.39793712
t191,0.0,21.229380775300005,9.687166037899999,2.4496975467999995,0.0,0.0,0.0,0.0,0.0,16.0,49.36624436
t192,0.0,21.936192365780002,9.06817591654,2.2931668776799996,0.0,0.0,0.0,0.0,0.0,16.0,49.29753516
t193,0.0,22.744799136030004,8.44918582729,2.13663621668,0.0,0.0,0.0,0.0,0.0,16.0,49.33062118
t194,0.0,23.700366913910003,7.7809588741299995,1.9676545019599998,0.0,0.0,0.0,0.0,0.0,16.0,49.44898029
t195,0.0,68.8571548711964,7.11273192097,1.79867278724,0.0,0.0,0.0,0.0,0.0,16.0,93.7685595794064
t196,0.0,25.846380619670004,6.44450496781,1.6296910725199998,0.0,0.0,0.0,0.0,0.0,16.0,49.92057666
t197,0.0,26.96537690732,5.77627804676,1.46070936592,0.0,0.0,0.0,0.0,0.0,16.0,50.20236432
t198,0.0,28.0698310452,5.108051093599999,1.2917276511999998,0.0,0.0,0.0,0.0,0.0,16.0,50.46960979
