Resource,onshore_wind,solar_pv_sat,solar_btm,solar_btm_curt,hydro,battery4,battery8,pumped_hydro
t92,0.0,0.0,0.0,0.0,0.0,-0.16304347826021287,-0.1630434782608303,-0.08159954848470599
t93,0.0,0.0,0.0,0.0,0.0,-0.16304347826016924,-0.16304347826082954,-0.07416033951277122
t94,0.0,0.0,0.0,0.0,0.0,-0.1630434782601296,-0.16304347826082882,-0.06868869719740638
t95,0.0,0.0,0.0,0.0,0.0,-0.16304347826009333,-0.1630434782608281,-0.0650333318245389
t96,0.0,0.0,0.0,0.0,0.0,-0.16304347826001547,-0.16304347826082635,-0.0449333860029317
t97,0.0,0.0,0.0,0.0,0.0,-0.16304347825998436,-0.16304347826082569,-0.043425304428028694
t98,0.0,0.0,0.0,0.0,0.0,-0.16304347825995533,-0.16304347826082502,-0.042550169527820196
t99,0.0,0.0,0.0,0.0,0.0,-0.16304347825992815,-0.16304347826082438,-0.04235674111890427
t100,0.0,0.0,0.0,0.0,0.0,-0.16304347825990265,-0.16304347826082377,-0.04290103868131727
t101,0.0,0.0,0.0,0.0,0.0,-0.16304347825984292,-0.16304347826082224,-0.027045440864600947
t102,0.0,0.0,0.0,0.0,0.0,-0.16304347825982027,-0.16304347826082166,-0.02822468855146652
t103,0.0,0.0,0.0,0.0,0.0,-0.16304347825979887,-0.16304347826082113,-0.029618132582269686
t104,0.0,0.0,0.0,0.0,0.0,-0.16304347825977855,-0.16304347826082058,-0.031358255976800045
t105,0.0,0.0,0.0,0.0,0.0,-0.1630434782597594,-0.1630434782608201,-0.03358077034353443
t106,0.0,0.0,0.0,0.0,0.0,-0.16304347825971063,-0.1630434782608187,-0.019087865246897782
t107,0.0,0.0,0.0,0.0,0.0,-0.16304347825969337,-0.16304347826081822,-0.02154372282397841
t108,0.0,0.0,0.0,0.0,0.0,-0.16304347825967697,-0.16304347826081778,-0.02405153510127098
t109,0.0,0.0,0.0,0.0,0.0,-0.16304347825966142,-0.16304347826081733,-0.026757541813309808
t110,0.0,0.0,0.0,0.0,0.0,-0.16304347825964663,-0.16304347826081694,-0.029824110733952875
t111,0.0,0.0,0.0,0.0,0.0,-0.16304347825960555,-0.16304347826081572,-0.015683370709844713
t112,0.0,0.0,0.0,0.0,0.0,-0.16304347825959226,-0.16304347826081536,-0.018783592766103027
t113,0.0,0.0,0.0,0.0,0.0,-0.16304347825957963,-0.163043478260815,-0.02186476093000324
t114,0.0,0.0,0.0,0.0,0.0,-0.16304347825956764,-0.16304347826081467,-0.025097619126816073
t115,0.0,0.0,0.0,0.0,0.0,-0.1630434782595563,-0.16304347826081433,-0.02867987845948494
