Resource,onshore_wind,solar_pv_sat,solar_btm,hydro,battery4,battery8,pumped_hydro,Total
t217,0.0,0.0,0.0,0.0,280.8199919529611,0.0,0.0,280.8199919529611
t218,0.0,0.0,0.0,0.0,53.74158829530085,0.0,0.0,53.74158829530085
t219,0.0,0.0,0.0,0.0,335.69175909125687,0.0,0.0,335.69175909125687
t220,0.0,0.0,0.0,0.0,51.544647720488605,0.0,0.0,51.544647720488605
t221,0.0,0.0,0.0,0.0,378.325925369777,0.0,0.0,378.325925369777
t222,0.0,0.0,0.0,0.0,49.610665704176334,0.0,0.0,49.610665704176334
t223,0.0,0.0,0.0,0.0,48.7117253600371,0.0,0.0,48.7117253600371
t224,0.0,0.0,0.0,0.0,47.20487313236412,0.0,0.0,47.20487313236412
t225,0.0,0.0,0.0,0.0,489.0969449881873,0.0,0.0,489.0969449881873
t226,0.0,0.0,0.0,0.0,44.05698390055195,0.0,0.0,44.05698390055195
t227,0.0,0.0,0.0,0.0,42.502882385912635,0.0,0.0,42.502882385912635
t228,0.0,0.0,0.0,0.0,527.9923748241052,0.0,0.0,527.9923748241052
t229,0.0,0.0,0.0,0.0,38.853468256100456,0.0,0.0,38.853468256100456
t230,0.0,0.0,0.0,0.0,518.3281091184001,0.0,0.0,518.3281091184001
t231,0.0,0.0,0.0,0.0,38.48124941402763,0.0,0.0,38.48124941402763
t232,0.0,0.0,0.0,0.0,509.6737882215881,0.0,0.0,509.6737882215881
t233,0.0,0.0,0.0,0.0,38.35371757192123,0.0,0.0,38.35371757192123
t234,0.0,0.0,0.0,0.0,502.13498098576116,0.0,0.0,502.13498098576116
t235,0.0,0.0,0.0,0.0,413.410548994138,0.0,0.0,413.410548994138
t236,0.0,0.0,0.0,0.0,38.05453717306204,0.0,0.0,38.05453717306204
t237,0.0,0.0,0.0,0.0,38.06823177077567,0.0,0.0,38.06823177077567
t238,0.0,0.0,0.0,0.0,37.95668735998927,0.0,0.0,37.95668735998927
t239,0.0,0.0,0.0,0.0,534.1855927694256,0.0,0.0,534.1855927694256
t240,0.0,0.0,0.0,0.0,37.82646115688289,0.0,0.0,37.82646115688289
t241,0.0,0.0,0.0,0.0,37.6827541220965,0.0,0.0,37.6827541220965
t242,0.0,0.0,0.0,0.0,38.0617374609866,0.0,0.0,38.0617374609866
t243,0.0,0.0,0.0,0.0,550.5829508970631,0.0,0.0,550.5829508970631
t244,0.0,0.0,0.0,0.0,38.97114091330049,0.0,0.0,38.97114091330049
t245,0.0,0.0,0.0,0.0,39.374546254190626,0.0,0.0,39.374546254190626
t246,0.0,0.0,0.0,0.0,39.678910548580745,0.0,0.0,39.678910548580745
t247,0.0,0.0,0.0,0.0,551.3749946083602,0.0,0.0,551.3749946083602
t248,0.0,0.0,0.0,0.0,40.37824301789463,0.0,0.0,40.37824301789463
t249,0.0,0.0,0.0,0.0,40.650528237284796,0.0,0.0,40.650528237284796
t250,0.0,0.0,0.0,0.0,40.973931408674915,0.0,0.0,40.973931408674915
t251,0.0,0.0,0.0,0.0,41.23919853359869,0.0,0.0,41.23919853359869
t252,0.0,0.0,0.0,0.0,41.5306638019888,0.0,0.0,41.5306638019888
t253,0.0,0.0,0.0,0.0,41.77995673387893,0.0,0.0,41.77995673387893
t254,0.0,0.0,0.0,0.0,38.70187100422754,0.0,0.0,38.70187100422754
t255,0.0,0.0,0.0,0.0,35.43400971660982,0.0,0.0,35.43400971660982
t256,0.0,0.0,0.0,0.0,32.29649936195843,0.0,0.0,32.29649936195843
t257,0.0,0.0,0.0,0.0,28.984731095807035,0.0,0.0,28.984731095807035
t258,0.0,0.0,0.0,0.0,25.720885713689288,0.0,0.0,25.720885713689288
t259,0.0,0.0,0.0,0.0,22.498573878037888,0.0,0.0,22.498573878037888
t260,0.0,0.0,0.0,0.0,19.277077652886522,0.0,0.0,19.277077652886522
t261,0.0,0.0,0.0,0.0,16.029383284268782,0.0,0.0,16.029383284268782
t262,0.0,0.0,0.0,0.0,12.818749632617404,0.0,0.0,12.818749632617404
t263,0.0,0.0,0.0,0.0,9.426374532466008,0.0,-0.0,9.426374532466008
t264,0.0,0.0,0.0,0.0,6.047417753848285,0.0,-0.0,6.047417753848285
t265,0.0,0.0,0.0,0.0,2.616704218696906,0.0,-0.0,2.616704218696906
t266,0.0,0.0,0.0,0.0,0.04379282376824279,0.0,-0.0,0.04379282376824279
t267,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
t268,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
t269,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
t270,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
t271,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
t272,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
t273,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
t274,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
t275,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
t276,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
t277,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
t278,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
t279,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
t280,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
t281,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
t282,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
t283,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
t284,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
t285,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
t286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t289,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
t290,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
