Resource,onshore_wind,solar_pv_sat,hydro,battery,pumped_hydro,Total
t14716,9.923043825197169,0.0,0.0,0.0,0.0,9.923043825197169
t14717,9.894529432572853,0.0,0.0,0.0,0.0,9.894529432572853
t14718,9.866015039948536,0.0,0.0,0.0,0.0,9.866015039948536
t14719,9.837500902338236,0.0,0.0,0.0,0.0,9.837500902338236
t14720,9.80898650971392,0.0,0.0,0.0,0.0,9.80898650971392
t14721,9.780472117089602,0.0,0.0,0.0,0.0,9.780472117089602
t14722,9.751957724465285,0.0,0.0,0.0,0.0,9.751957724465285
t14723,9.723443331840969,0.0,0.0,0.0,0.0,9.723443331840969
t14724,9.69492893921665,0.0,0.0,0.0,0.0,9.69492893921665
t14725,9.666414546592334,0.0,0.0,0.0,0.0,9.666414546592334
t14726,9.629007305069432,0.0,0.0,0.0,0.0,9.629007305069432
t14727,9.59160006354653,0.0,0.0,0.0,0.0,9.59160006354653
t14728,9.55419256700961,0.0,0.0,0.0,0.0,9.55419256700961
t14729,9.516785325486708,0.0,0.0,0.0,0.0,9.516785325486708
t14730,9.479378083963805,0.0,0.0,0.0,0.0,9.479378083963805
t14731,9.441970842440902,0.0,0.0,0.0,0.0,9.441970842440902
t14732,9.404563345903982,0.0,0.0,0.0,0.0,9.404563345903982
t14733,9.367156104381081,0.0,0.0,0.0,0.0,9.367156104381081
t14734,9.329748862858178,0.0,0.0,0.0,0.0,9.329748862858178
t14735,9.292341621335277,0.0,0.0,0.0,0.0,9.292341621335277
t14736,9.254934124798357,0.0,0.0,0.0,0.0,9.254934124798357
t14737,9.217526883275456,0.0,0.0,0.0,0.0,9.217526883275456
t14738,9.499850609473622,0.0,0.0,0.0,0.0,9.499850609473622
t14739,9.78217433567179,0.0,0.0,0.0,0.0,9.78217433567179
t14740,10.064498316883977,0.0,0.0,0.0,0.0,10.064498316883977
t14741,10.346822043082145,0.0,0.0,0.0,0.0,10.346822043082145
t14742,10.629145769280314,0.0,0.0,0.0,0.0,10.629145769280314
t14743,10.91146949547848,0.0,0.0,0.0,0.0,10.91146949547848
t14744,11.193793221676648,0.0,0.0,0.0,0.0,11.193793221676648
t14745,11.476116947874816,0.0,0.0,0.0,0.0,11.476116947874816
t14746,11.758440929087003,0.0,0.0,0.0,0.0,11.758440929087003
t14747,12.040764655285171,0.0,0.0,0.0,0.0,12.040764655285171
t14748,12.32308838148334,0.0,0.0,0.0,0.0,12.32308838148334
t14749,12.605412107681506,0.0,0.0,0.0,0.0,12.605412107681506
t14750,13.200508234042367,0.0,0.0,0.0,0.0,13.200508234042367
t14751,13.795604615417249,0.0,0.0,0.0,0.0,13.795604615417249
t14752,14.39070074177811,0.0,0.0,0.0,0.0,14.39070074177811
t14753,14.985797123152992,0.0,0.0,0.0,0.0,14.985797123152992
t14754,15.580893249513853,0.0,0.0,0.0,0.0,15.580893249513853
t14755,16.175989630888733,0.0,0.0,0.0,0.0,16.175989630888733
t14756,16.771085757249597,0.0,0.0,0.0,0.0,16.771085757249597
t14757,17.36618188361046,0.0,0.0,0.0,0.0,17.36618188361046
t14758,17.96127826498534,0.0,0.0,0.0,0.0,17.96127826498534
t14759,18.5563743913462,0.0,0.0,0.0,0.0,18.5563743913462
t14760,19.151470772721083,0.0,0.0,0.0,0.0,19.151470772721083
t14761,19.746566899081945,0.0,0.0,0.0,0.0,19.746566899081945
t14762,20.333547714290603,0.0,0.0,0.0,0.0,20.333547714290603
t14763,20.92052827448524,0.0,0.0,0.0,0.0,20.92052827448524
t14764,21.507509089693897,0.0,0.0,0.0,0.0,21.507509089693897
t14765,22.094489649888537,0.0,0.0,0.0,0.0,22.094489649888537
t14766,22.68147046509719,0.0,0.0,0.0,0.0,22.68147046509719
t14767,23.268451025291828,0.0,0.0,0.0,0.0,23.268451025291828
t14768,23.855431840500486,4.54505044171605,0.0,0.0,0.0,28.400482282216537
t14769,24.442412400695126,25.17050822044034,0.0,0.0,0.0,49.612920621135466
