Resource,onshore_wind,solar_pv_sat,hydro,battery,pumped_hydro
t293,0.0,0.0,-0.0,2854.824819463961,-0.0
t294,0.0,0.0,-0.0,2811.042964355265,-0.0
t295,0.0,0.0,-0.0,2767.4212528009175,-0.0
t296,0.0,0.0,-0.0,2723.9929276052653,-0.0
t297,0.0,0.0,-0.0,2680.6712913226565,-0.0
t298,0.0,0.0,-0.0,2637.4697557030913,-0.0
t299,0.0,0.0,-0.0,2594.462940137874,-0.0
t300,0.0,0.0,-0.0,2551.6048614422216,-0.0
t301,0.0,0.0,-0.0,2508.904620463961,-0.0
t302,0.0,0.0,-0.0,2466.3048141487434,-0.0
t303,0.0,0.0,-0.0,2423.845198779178,-0.0
t304,0.0,0.0,-0.0,2381.5061357139607,-0.0
t305,0.0,0.0,-0.0,2339.30997197483,-0.0
t306,0.0,0.0,-0.0,2297.199228605265,-0.0
t307,0.0,0.0,-0.0,2255.089603137874,-0.0
t308,0.0,0.0,-0.0,2212.999120463961,-0.0
t309,0.0,0.0,-0.0,2170.9766377357,-0.0
t310,0.0,0.0,-0.0,2129.0360456813523,-0.0
t311,0.0,0.0,-0.0,2087.1177837357,-0.0
t312,0.0,0.0,-0.0,2045.2735829857,-0.0
t313,0.0,0.0,-0.0,2003.4186619530913,-0.0
t314,0.0,0.0,-0.0,1961.6917197683088,-0.0
t315,0.0,0.0,-0.0,1920.0237816813521,-0.0
t316,0.0,0.0,-0.0,1878.4143687248304,-0.0
t317,0.0,0.0,-0.0,1836.8400104639609,-0.0
t318,0.0,0.0,-0.0,1795.2729253987434,-0.0
t319,0.0,0.0,-0.0,1753.6896429639608,-0.0
t320,0.0,0.0,-0.0,1712.0975208770042,-0.0
t321,0.0,0.0,-0.0,1670.5741557465694,-0.0
t322,0.0,0.0,-0.0,1629.0965559857,-0.0
t323,0.0,0.0,-0.0,1587.6308044639609,-0.0
t324,0.0,0.0,-0.0,1546.2219263443956,-0.0
t325,0.0,0.0,-0.0,1504.732451159613,-0.0
t326,0.0,0.0,-0.0,1463.1719614748304,-0.0
t327,0.0,0.0,-0.0,1421.6271547248305,-0.0
t328,0.0,0.0,-0.0,1379.9964847574392,-0.0
t329,0.0,0.0,-0.0,1338.3133673009174,-0.0
t330,0.0,0.0,-0.0,1296.6419872139609,-0.0
t331,0.0,0.0,-0.0,1254.9373192900478,-0.0
t332,0.0,0.0,-0.0,1213.2314568552652,-0.0
t333,0.0,0.0,-0.0,1171.4726688226565,-0.0
t334,0.0,0.0,-0.0,1129.6590392248304,-0.0
t335,0.0,0.0,-0.0,1087.8070379204826,-0.0
t336,0.0,0.0,-0.0,1045.8639758552652,-0.0
t337,0.0,0.0,-0.0,1003.7723740617869,-0.0
t338,0.0,0.0,-0.0,961.4878714748304,-0.0
t339,0.0,0.0,-0.0,919.1187201378739,-0.0
t340,0.0,0.0,-0.0,876.6222898226565,-0.0
t341,0.0,0.0,-0.0,833.9738377465695,-0.0
t342,0.0,0.0,-0.0,791.1886916378738,-0.0
t343,0.0,0.0,-0.0,748.201708659613,-0.0
t344,0.0,0.0,-0.0,705.0495134422217,-0.0
t345,0.0,0.0,-0.0,661.6966606161347,-0.0
t346,0.0,0.0,-0.0,661.6966606161347,-0.0
t347,0.0,0.0,-0.0,617.9909011922217,-0.0
t348,0.0,0.0,-0.0,574.0332625943956,-0.0
t349,0.0,0.0,-0.0,529.5847281487435,-0.0
t350,0.0,0.0,-0.0,484.7228676378739,-0.0
t351,0.0,0.0,-0.0,484.7228676378739,-0.0
t352,0.0,0.0,-0.0,484.7228676378739,-0.0
t353,0.0,0.0,-0.0,438.82192637700433,-0.0
t354,0.0,0.0,-0.0,438.82192637700433,-0.0
t355,0.0,0.0,-0.0,438.82192637700433,-0.0
t356,0.0,0.0,-0.0,391.57361914874343,-0.0
t357,0.0,0.0,-0.0,391.57361914874343,-0.0
t358,0.0,0.0,-0.0,391.57361914874343,-0.0
t359,0.0,0.0,-0.0,342.8459738552652,-0.0
t360,0.0,0.0,-0.0,293.51596655091737,-0.0
t361,0.0,0.0,-0.0,293.51596655091737,-0.0
t362,0.0,0.0,-0.0,293.51596655091737,-0.0
t363,0.0,0.0,-0.0,242.04804614874345,-0.0
t364,0.0,0.0,-0.0,190.0808248226565,-0.0
t365,0.0,0.0,-0.0,137.64373639874344,-0.0
t366,0.0,0.0,-0.0,84.88335221396083,-0.0
t367,0.0,0.0,-0.0,84.88335221396083,-0.0
t368,0.0,0.0,-0.0,84.88335221396083,-0.0
t369,0.0,0.0,-0.0,84.88335221396083,-0.0
t370,0.0,0.0,-0.0,30.535269811786925,-0.0
t371,0.0,0.0,-0.0,30.535269811786925,-0.0
t372,0.0,0.0,-0.0,30.535269811786925,-0.0
t373,0.0,0.0,-0.0,-0.0,-0.0
t374,0.0,0.0,-0.0,0.0,0.0
t375,0.0,0.0,-0.0,-0.0,-0.0
t376,0.0,0.0,-0.0,0.0,0.0
t377,0.0,0.0,-0.0,-0.0,-0.0
t378,0.0,0.0,-0.0,-0.0,0.0
t379,0.0,0.0,-0.0,0.0,-0.0
t380,0.0,0.0,-0.0,-0.0,-0.0
t381,0.0,0.0,-0.0,0.0,0.0
t382,0.0,0.0,-0.0,-0.0,-0.0
